Time Series Search Export,Search term,Search filters,,Last update of Residential property prices data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
,,,,2026-04-30,2026-05-11 06:25 CEST,BIS,"https://data.bis.org/topics/RPP/BIS,WS_SPP,1.0/Q.CA.N.628?","https://data.bis.org/topics/RPP/BIS,WS_SPP,1.0/Q.CA.N.628?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code",https://data.bis.org/topics/RPP

DATAFLOW_ID,KEY,FREQ,REF_AREA,VALUE,UNIT_MEASURE,Unit,Unit multiplier,TIME_PERIOD,OBS_CONF,OBS_PRE_BREAK,OBS_STATUS,OBS_VALUE
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1980-09-30,F,,A,20.4104
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1980-12-31,F,,A,21.702
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1981-03-31,F,,A,22.5297
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1981-06-30,F,,A,22.7025
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1981-09-30,F,,A,23.2801
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1981-12-31,F,,A,23.612
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1982-03-31,F,,A,22.6525
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1982-06-30,F,,A,21.702
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1982-09-30,F,,A,21.2927
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1982-12-31,F,,A,21.752
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1983-03-31,F,,A,23.2391
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1983-06-30,F,,A,23.2255
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1983-09-30,F,,A,22.9299
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1983-12-31,F,,A,23.0117
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1984-03-31,F,,A,22.989
