date,tsx_cad
2021-02-01,18060.30
2021-03-01,18700.70
2021-04-01,19108.30
2021-05-01,19731.00
2021-06-01,20165.60
2021-07-01,20287.80
2021-08-01,20582.90
2021-09-01,20070.30
2021-10-01,21037.10
2021-11-01,20660.00
2021-12-01,21222.80
2022-01-01,21098.30
2022-02-01,21126.40
2022-03-01,21890.20
2022-04-01,20762.00
2022-05-01,20729.30
2022-06-01,18861.40
2022-07-01,19692.90
2022-08-01,19330.80
2022-09-01,18444.20
2022-10-01,19426.10
2022-11-01,20453.30
2022-12-01,19384.90
2023-01-01,20767.40
2023-02-01,20221.20
2023-03-01,20099.90
2023-04-01,20636.50
2023-05-01,19572.20
2023-06-01,20155.30
2023-07-01,20626.60
2023-08-01,20292.60
2023-09-01,19541.30
2023-10-01,18873.50
2023-11-01,20236.30
2023-12-01,20958.40
2024-01-01,21021.90
2024-02-01,21363.60
2024-03-01,22167.00
2024-04-01,21714.50
2024-05-01,22269.10
2024-06-01,21875.80
2024-07-01,23110.80
2024-08-01,23346.20
2024-09-01,24000.40
2024-10-01,24156.90
2024-11-01,25648.00
2024-12-01,24727.90
2025-01-01,25533.10
2025-02-01,25393.50
2025-03-01,24917.50
2025-04-01,24841.70
2025-05-01,26175.10
2025-06-01,26857.10
2025-07-01,27259.80
2025-08-01,28564.50
2025-09-01,30022.80
2025-10-01,30260.70
2025-11-01,31382.80
2025-12-01,31712.80
2026-01-01,31923.50
2026-02-01,34340.00
2026-03-01,32768.00
2026-04-01,33964.30
2026-05-01,33891.20
