date,tsx_cad,sp500_usd,vt_usd,usd_cad,sp500_cad,vt_cad
1999-01-01,6729.6,1279.640015,,1.519442105263158,1944.338918370579,
1999-02-01,6312.7,1238.329956,,1.4977421052631579,1854.6989153098737,
1999-03-01,6597.8,1286.369995,,1.5175695652173913,1952.1559540208477,
1999-04-01,7014.7,1335.180054,,1.4881,1986.8814383574,
1999-05-01,6841.8,1301.839966,,1.4611100000000001,1902.1313927222602,
1999-06-01,7010.1,1372.709961,,1.4694863636363635,2017.1785689173043,
1999-07-01,7081.0,1328.719971,,1.489047619047619,1978.5273091985712,
1999-08-01,6970.8,1320.410034,,1.4931954545454544,1971.630260905009,
1999-09-01,6957.7,1282.709961,,1.477052380952381,1894.629801966386,
1999-10-01,7256.2,1362.930054,,1.4776099999999999,2013.8790770909397,
1999-11-01,7523.2,1388.910034,,1.46743,2038.12825119262,
1999-12-01,8413.8,1469.25,,1.4722086956521738,2163.0426260869563,
2000-01-01,8481.1,1394.459961,,1.4486,2020.0146995046002,
2000-02-01,9129.0,1366.420044,,1.45121,1982.96243205324,
2000-03-01,9462.4,1498.579956,,1.4607739130434783,2189.0865063346437,
2000-04-01,9347.6,1452.430054,,1.4688750000000002,2133.43819556925,
2000-05-01,9252.0,1420.599976,,1.4957363636363636,2124.843042284145,
2000-06-01,10195.5,1454.599976,,1.4770454545454543,2148.510282732727,
2000-07-01,10406.3,1430.829956,,1.4777850000000001,2114.45904652746,
2000-08-01,11247.9,1517.680054,,1.482813043478261,2250.4357798979913,
2000-09-01,10377.9,1436.51001,,1.48643,2135.2715741642996,
2000-10-01,9639.6,1429.400024,,1.5124761904761905,2161.933502966095,
2000-11-01,8819.9,1314.949951,,1.5426380952380954,2028.4918877440668,
2000-12-01,8933.7,1320.280029,,1.521875,2009.3011691343752,
2001-01-01,9321.9,1366.01001,,1.5032,2053.386247032,
2001-02-01,8078.7,1239.939941,,1.5215631578947368,1886.6469322277737,
2001-03-01,7608.0,1160.329956,,1.558740909090909,1808.6537704608545,
2001-04-01,7946.6,1249.459961,,1.5577666666666665,1946.3670785804331,
2001-05-01,8161.9,1255.819946,,1.54105,1935.2813277833002,
2001-06-01,7736.4,1224.380005,,1.5245380952380954,1866.6139606703096,
2001-07-01,7689.7,1211.22998,,1.5307904761904763,1854.1393178603812,
2001-08-01,7399.2,1133.579956,,1.5398565217391305,1745.5504881593565,
2001-09-01,6838.6,1040.939941,,1.5679388888888888,1632.1302144916056,
2001-10-01,6885.7,1059.780029,,1.5716772727272728,1665.6321856695502,
2001-11-01,7425.7,1139.449951,,1.592245,1814.283487229995,
2001-12-01,7688.4,1148.079956,,1.578755,1812.53697093478,
2002-01-01,7648.5,1130.199951,,1.5997142857142859,1807.997007328286,
2002-02-01,7637.5,1106.72998,,1.5964,1766.7837400720002,
2002-03-01,7851.5,1147.390015,,1.5877428571428571,1821.7603006732857,
2002-04-01,7663.4,1076.920044,,1.5814863636363639,1703.134364312673,
2002-05-01,7656.1,1067.140015,,1.5501545454545456,1654.231944888682,
2002-06-01,7145.6,989.8200073,,1.53184,1516.2458799824321,
2002-07-01,6605.4,911.6199951,,1.54555,1408.954283426805,
2002-08-01,6612.0,916.0700073,,1.5694181818181818,1437.6969252749345,
2002-09-01,6180.4,815.2800293,,1.576135,1284.9913889807556,
2002-10-01,6248.8,885.7600098,,1.578009090909091,1397.7373478281256,
2002-11-01,6570.4,936.3099976,,1.5714526315789474,1471.366809702198,
2002-12-01,6614.5,879.8200073,,1.5592190476190477,1371.8321138584897,
2003-01-01,6569.5,855.7000122,,1.5414476190476192,1319.0167464247086,
