Time Series Search Export,Search term,Search filters,,Last update of Residential property prices data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
,,,,2026-04-30,2026-05-03 06:11 CEST,BIS,"https://data.bis.org/topics/RPP/BIS,WS_SPP,1.0/Q.CA.R.628?","https://data.bis.org/topics/RPP/BIS,WS_SPP,1.0/Q.CA.R.628?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code",https://data.bis.org/topics/RPP

DATAFLOW_ID,KEY,FREQ,REF_AREA,VALUE,UNIT_MEASURE,Unit,Unit multiplier,TIME_PERIOD,OBS_CONF,OBS_PRE_BREAK,OBS_STATUS,OBS_VALUE
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1980-09-30,F,,A,53.2591
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1980-12-31,F,,A,55.1066
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1981-03-31,F,,A,55.3188
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1981-06-30,F,,A,54.1451
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1981-09-30,F,,A,53.9036
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1981-12-31,F,,A,53.3638
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1982-03-31,F,,A,49.9355
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1982-06-30,F,,A,46.4056
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1982-09-30,F,,A,44.5756
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1982-12-31,F,,A,44.8387
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1983-03-31,F,,A,47.5674
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1983-06-30,F,,A,46.9074
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1983-09-30,F,,A,45.5728
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1983-12-31,F,,A,45.323
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1984-03-31,F,,A,44.7485
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1984-06-30,F,,A,44.6323
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1984-09-30,F,,A,43.447
"BIS,WS_SPP,1.0",Q.CA.R.628,Q,CA,R,628,"Index, 2010 = 100",Units,1984-12-31,F,,A,43.6519
