date,house_price_at_purchase,down_payment,initial_loan_amount,mortgage_type,mortgage_term_years,mortgage_rate,mortgage_payment,mortgage_interest,mortgage_principal,mortgage_balance,house_price,owner_networth,year,rent,maintenance_cost,property_tax,structure_value,depreciation_cost,owner_monthly_cost,purchase_cost,sale_cost,owner_monthly_unrecoverable_cost,portfolio_return_net,monthly_savings_difference,renter_monthly_investment,renter_portfolio_value,renter_networth,wealth_ratio
2005-01-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,884.4266666666666,290.73706503652613,189229.26293496348,236900,47670.73706503652,2005,703.0,234.33333333333337,197.41666666666663,118450.0,98.70833333333331,1414.885,4738.0,0.0,6152.885,-0.015157091383713317,711.885,711.885,52039.92771126363,52039.92771126363,1.0916535156623712
2005-02-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,883.0698936964961,292.0938380066966,188937.1690969568,237600,48662.830903043214,2005,703.0,234.33333333333337,198.0,118800.0,99.0,1414.4032270298294,0.0,0.0,1414.4032270298294,0.03446036255433808,711.4032270298294,711.4032270298294,54544.64571452514,54544.64571452514,1.120868734973536
2005-03-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,881.7067891191316,293.45694258406115,188643.7121543727,238500,49856.28784562729,2005,703.0,234.33333333333337,198.75,119250.0,99.375,1414.1651224524649,0.0,0.0,1414.1651224524649,-0.012658052057030989,711.1651224524649,711.1651224524649,54565.38187209083,54565.38187209083,1.0944533624533894
2005-04-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,880.3373233870726,294.82640831612014,188348.8857460566,239300,50951.11425394341,2005,703.0,234.33333333333337,199.41666666666663,119650.0,99.70833333333331,1413.795656720406,0.0,0.0,1413.795656720406,-0.022907749320987516,710.795656720406,710.795656720406,54026.20743928143,54026.20743928143,1.0603537965825747
2005-05-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,878.9614668149306,296.2022648882621,188052.68348116832,239800,51747.31651883168,2005,703.0,234.33333333333337,199.83333333333337,119900.0,99.91666666666669,1413.044800148264,0.0,0.0,1413.044800148264,0.027468745373072565,710.0448001482639,710.0448001482639,56220.28437505212,56220.28437505212,1.086438643723538
2005-06-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,877.5791895787854,297.58454212440733,187755.0989390439,241100,53344.901060956094,2005,703.0,234.33333333333337,200.91666666666663,120550.0,100.45833333333331,1413.287522912119,0.0,0.0,1413.287522912119,0.015099240158636262,710.2875229121189,710.2875229121189,57779.45547352998,57779.45547352998,1.0831298647926373
2005-07-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,876.1904617155382,298.9732699876546,187456.12566905623,243000,55543.87433094374,2005,703.0,234.33333333333337,202.5,121500.0,101.25,1414.2737950488715,0.0,0.0,1414.2737950488715,0.044036059889941116,711.2737950488715,711.2737950488715,61035.10883021941,61035.10883021941,1.0988630081250288
2005-08-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,874.7952531222625,300.3684785809303,187155.75719047533,245100,57944.24280952467,2005,703.0,234.33333333333337,204.25,122550.0,102.125,1415.5035864555955,0.0,0.0,1415.5035864555955,0.0059815525479286254,712.5035864555955,712.5035864555955,62112.697127411506,62112.697127411506,1.0719390592709865
2005-09-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,873.3935335555515,301.7701981476413,186853.9869923277,247300,60446.0130076723,2005,703.0,234.33333333333337,206.08333333333337,123650.0,103.04166666666669,1416.8518668888848,0.0,0.0,1416.8518668888848,0.01933625184254831,713.8518668888848,713.8518668888848,64027.57574857595,64027.57574857595,1.0592522577204397
2005-10-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,871.9852726308625,303.17845907233027,186550.80853325536,250000,63449.19146674464,2005,703.0,234.33333333333337,208.33333333333337,125000.0,104.16666666666669,1418.8186059641955,0.0,0.0,1418.8186059641955,-0.03761629215633668,715.8186059641955,715.8186059641955,62334.91435911974,62334.91435911974,0.9824382772756227
2005-11-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,870.5704398218583,304.5932918813345,186246.215241374,252500,66253.78475862599,2005,703.0,234.33333333333337,210.41666666666663,126250.0,105.20833333333331,1420.5287731551916,0.0,0.0,1420.5287731551916,0.03861110701160179,717.5287731551916,717.5287731551916,65459.26318115394,65459.26318115394,0.9880079065616156
2005-12-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,869.1490044597452,306.0147272434475,185940.20051413056,255000,69059.79948586944,2005,703.0,234.33333333333337,212.5,127500.0,106.25,1422.2323377930786,0.0,0.0,1422.2323377930786,0.0200192920244868,719.2323377930786,719.2323377930786,67488.94362427827,67488.94362427827,0.9772536863227848
2006-01-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,867.7209357326092,307.4427959705836,185632.75771815996,258000,72367.24228184004,2006,724.0,241.33333333333337,215.0,129000.0,107.5,1431.5542690659424,0.0,0.0,1431.5542690659424,0.04239029723333424,707.5542690659424,707.5542690659424,71057.37427354112,71057.37427354112,0.9818997108775055
2006-02-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,866.2862026847464,308.87752901844635,185323.88018914152,260400,75076.11981085848,2006,724.0,241.33333333333337,217.0,130200.0,108.5,1433.1195360180798,0.0,0.0,1433.1195360180798,-0.010751410290807529,709.1195360180798,709.1195360180798,71002.5268245569,71002.5268245569,0.9457404964912371
2006-03-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,864.8447742159937,310.3189574871991,185013.5612316543,263000,77986.43876834569,2006,724.0,241.33333333333337,219.16666666666663,131500.0,109.58333333333331,1434.928107549327,0.0,0.0,1434.928107549327,0.023404645516920706,710.928107549327,710.928107549327,73375.24390324064,73375.24390324064,0.9408718369766526
2006-04-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,863.3966190810534,311.7671126221394,184701.79411903216,265900,81198.20588096784,2006,724.0,241.33333333333337,221.58333333333337,132950.0,110.79166666666669,1437.1049524143866,0.0,0.0,1437.1049524143866,0.009733876303188149,713.1049524143866,713.1049524143866,74802.57440352545,74802.57440352545,0.9212343252162734
2006-05-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,861.9417058888166,313.22202581437614,184388.57209321775,268900,84511.42790678222,2006,724.0,241.33333333333337,224.08333333333337,134450.0,112.04166666666669,1439.40003922215,0.0,0.0,1439.40003922215,-0.034500471612361604,715.4000392221501,715.4000392221501,72937.2503480072,72937.2503480072,0.8630460063751193
2006-06-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,860.4800031016829,314.68372860150987,184073.88836461623,271700,87626.11163538374,2006,724.0,241.33333333333337,226.41666666666663,135850.0,113.20833333333331,1441.4383364350165,0.0,0.0,1441.4383364350165,-0.0057676577235929675,717.4383364350165,717.4383364350165,73234.01158913491,73234.01158913491,0.8357555781302379
2006-07-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,859.0114790348758,316.1522526683169,183757.73611194795,274200,90442.26388805204,2006,724.0,241.33333333333337,228.5,137100.0,114.25,1443.0948123682092,0.0,0.0,1443.0948123682092,0.011725025340778605,719.0948123682092,719.0948123682092,74811.77704319259,74811.77704319259,0.8271771827360866
2006-08-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,857.536101855757,317.62762984743574,183440.1084821005,276800,93359.8915178995,2006,724.0,241.33333333333337,230.66666666666663,138400.0,115.33333333333331,1444.8694351890904,0.0,0.0,1444.8694351890904,0.020689941443342717,720.8694351890904,720.8694351890904,77080.49776467776,77080.49776467776,0.8256275421003402
2006-09-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,856.0538395831356,319.1098921200571,183120.99858998045,279600,96479.00141001955,2006,724.0,241.33333333333337,233.0,139800.0,116.5,1446.887172916469,0.0,0.0,1446.887172916469,-0.0008664287556387714,722.8871729164689,722.8871729164689,77736.60017783195,77736.60017783195,0.8057359533341815
2006-10-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,854.5646600865754,320.5990716166174,182800.39951836385,280900,98099.60048163618,2006,724.0,241.33333333333337,234.08333333333337,140450.0,117.04166666666669,1447.0229934199087,0.0,0.0,1447.0229934199087,0.040343097003097496,723.0229934199087,723.0229934199087,81595.75837291713,81595.75837291713,0.8317644309692321
2006-11-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,853.0685310856977,322.09520061749504,182478.3043177463,282900,100421.69568225367,2006,724.0,241.33333333333337,235.75,141450.0,117.875,1448.026864419031,0.0,0.0,1448.026864419031,0.024542338646408788,724.026864419031,724.026864419031,84322.33597143485,84322.33597143485,0.8396824550567326
2006-12-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,851.5654201494827,323.59831155371,182154.7060061926,285100,102945.2939938074,2006,724.0,241.33333333333337,237.58333333333337,142550.0,118.79166666666669,1449.273753482816,0.0,0.0,1449.273753482816,0.012216053811449556,725.2737534828159,725.2737534828159,86077.69591865184,86077.69591865184,0.8361498867916175
2007-01-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,850.0552946955654,325.10843700762734,181829.597569185,287300,105470.402430815,2007,746.0,248.66666666666663,239.41666666666663,143650.0,119.70833333333331,1457.8469613622322,0.0,0.0,1457.8469613622322,0.011690110596239178,711.8469613622322,711.8469613622322,87795.80066517256,87795.80066517256,0.8324212162057846
2007-02-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,848.5381219895298,326.6256097136629,181502.97195947132,290500,108997.02804052868,2007,746.0,248.66666666666663,242.08333333333337,145250.0,121.04166666666669,1460.3297886561966,0.0,0.0,1460.3297886561966,-0.010713287378438541,714.3297886561966,714.3297886561966,87569.54881068265,87569.54881068265,0.8034122616455324
2007-03-01,236900,47380.0,189520.0,fixed,5,0.0559999999999999,1175.1637317031928,847.0138691441995,328.1498625589933,181174.8220969123,293200,112025.17790308766,2007,746.0,248.66666666666663,244.33333333333337,146600.0,122.16666666666669,1462.180535810866,0.0,0.0,1462.180535810866,0.00940028594183554,716.1805358108661,716.1805358108661,89108.90814511148,89108.90814511148,0.7954364350324806
