date,canada_rent,canada_vacancy,toronto_rent,toronto_vacancy,vancouver_rent,vancouver_vacancy,calgary_rent,calgary_vacancy,ottawa_rent,ottawa_vacancy,montreal_rent,montreal_vacancy,edmonton_rent,edmonton_vacancy,canada_rent_index_1999,toronto_rent_index_1999,vancouver_rent_index_1999,calgary_rent_index_1999,edmonton_rent_index_1999,canada_rent_index_2008,toronto_rent_index_2008,vancouver_rent_index_2008,calgary_rent_index_2008,ottawa_rent_index_2008,montreal_rent_index_2008,edmonton_rent_index_2008
1999-01-01,586.0,4.0,808.0,0.9,749.0,1.5,642.0,0.6,,,,,508.0,1.8,100.0,100.0,100.0,100.0,100.0,78.55227882037534,81.53380423814329,79.09186906019008,65.11156186612575,,,57.40112994350282
1999-02-01,586.0,4.0,808.0,0.9,749.0,1.5,642.0,0.6,,,,,508.0,1.8,100.0,100.0,100.0,100.0,100.0,78.55227882037534,81.53380423814329,79.09186906019008,65.11156186612575,,,57.40112994350282
1999-03-01,586.0,4.0,808.0,0.9,749.0,1.5,642.0,0.6,,,,,508.0,1.8,100.0,100.0,100.0,100.0,100.0,78.55227882037534,81.53380423814329,79.09186906019008,65.11156186612575,,,57.40112994350282
1999-04-01,586.0,4.0,808.0,0.9,749.0,1.5,642.0,0.6,,,,,508.0,1.8,100.0,100.0,100.0,100.0,100.0,78.55227882037534,81.53380423814329,79.09186906019008,65.11156186612575,,,57.40112994350282
1999-05-01,586.0,4.0,808.0,0.9,749.0,1.5,642.0,0.6,,,,,508.0,1.8,100.0,100.0,100.0,100.0,100.0,78.55227882037534,81.53380423814329,79.09186906019008,65.11156186612575,,,57.40112994350282
1999-06-01,586.0,4.0,808.0,0.9,749.0,1.5,642.0,0.6,,,,,508.0,1.8,100.0,100.0,100.0,100.0,100.0,78.55227882037534,81.53380423814329,79.09186906019008,65.11156186612575,,,57.40112994350282
1999-07-01,586.0,4.0,808.0,0.9,749.0,1.5,642.0,0.6,,,,,508.0,1.8,100.0,100.0,100.0,100.0,100.0,78.55227882037534,81.53380423814329,79.09186906019008,65.11156186612575,,,57.40112994350282
1999-08-01,586.0,4.0,808.0,0.9,749.0,1.5,642.0,0.6,,,,,508.0,1.8,100.0,100.0,100.0,100.0,100.0,78.55227882037534,81.53380423814329,79.09186906019008,65.11156186612575,,,57.40112994350282
1999-09-01,586.0,4.0,808.0,0.9,749.0,1.5,642.0,0.6,,,,,508.0,1.8,100.0,100.0,100.0,100.0,100.0,78.55227882037534,81.53380423814329,79.09186906019008,65.11156186612575,,,57.40112994350282
1999-10-01,601.0,3.2,849.0,0.9,752.0,1.6,668.0,2.7,,,,,526.0,2.2,102.55972696245735,105.07425742574257,100.40053404539387,104.04984423676011,103.54330708661416,80.56300268096514,85.6710393541877,79.40865892291447,67.74847870182555,,,59.43502824858757
1999-11-01,601.0,3.2,849.0,0.9,752.0,1.6,668.0,2.7,,,,,526.0,2.2,102.55972696245735,105.07425742574257,100.40053404539387,104.04984423676011,103.54330708661416,80.56300268096514,85.6710393541877,79.40865892291447,67.74847870182555,,,59.43502824858757
1999-12-01,601.0,3.2,849.0,0.9,752.0,1.6,668.0,2.7,,,,,526.0,2.2,102.55972696245735,105.07425742574257,100.40053404539387,104.04984423676011,103.54330708661416,80.56300268096514,85.6710393541877,79.40865892291447,67.74847870182555,,,59.43502824858757
2000-01-01,601.0,3.2,849.0,0.9,752.0,1.6,668.0,2.7,,,,,526.0,2.2,102.55972696245735,105.07425742574257,100.40053404539387,104.04984423676011,103.54330708661416,80.56300268096514,85.6710393541877,79.40865892291447,67.74847870182555,,,59.43502824858757
2000-02-01,601.0,3.2,849.0,0.9,752.0,1.6,668.0,2.7,,,,,526.0,2.2,102.55972696245735,105.07425742574257,100.40053404539387,104.04984423676011,103.54330708661416,80.56300268096514,85.6710393541877,79.40865892291447,67.74847870182555,,,59.43502824858757
2000-03-01,601.0,3.2,849.0,0.9,752.0,1.6,668.0,2.7,,,,,526.0,2.2,102.55972696245735,105.07425742574257,100.40053404539387,104.04984423676011,103.54330708661416,80.56300268096514,85.6710393541877,79.40865892291447,67.74847870182555,,,59.43502824858757
2000-04-01,601.0,3.2,849.0,0.9,752.0,1.6,668.0,2.7,,,,,526.0,2.2,102.55972696245735,105.07425742574257,100.40053404539387,104.04984423676011,103.54330708661416,80.56300268096514,85.6710393541877,79.40865892291447,67.74847870182555,,,59.43502824858757
2000-05-01,601.0,3.2,849.0,0.9,752.0,1.6,668.0,2.7,,,,,526.0,2.2,102.55972696245735,105.07425742574257,100.40053404539387,104.04984423676011,103.54330708661416,80.56300268096514,85.6710393541877,79.40865892291447,67.74847870182555,,,59.43502824858757
2000-06-01,601.0,3.2,849.0,0.9,752.0,1.6,668.0,2.7,,,,,526.0,2.2,102.55972696245735,105.07425742574257,100.40053404539387,104.04984423676011,103.54330708661416,80.56300268096514,85.6710393541877,79.40865892291447,67.74847870182555,,,59.43502824858757
2000-07-01,601.0,3.2,849.0,0.9,752.0,1.6,668.0,2.7,,,,,526.0,2.2,102.55972696245735,105.07425742574257,100.40053404539387,104.04984423676011,103.54330708661416,80.56300268096514,85.6710393541877,79.40865892291447,67.74847870182555,,,59.43502824858757
2000-08-01,601.0,3.2,849.0,0.9,752.0,1.6,668.0,2.7,,,,,526.0,2.2,102.55972696245735,105.07425742574257,100.40053404539387,104.04984423676011,103.54330708661416,80.56300268096514,85.6710393541877,79.40865892291447,67.74847870182555,,,59.43502824858757
2000-09-01,601.0,3.2,849.0,0.9,752.0,1.6,668.0,2.7,,,,,526.0,2.2,102.55972696245735,105.07425742574257,100.40053404539387,104.04984423676011,103.54330708661416,80.56300268096514,85.6710393541877,79.40865892291447,67.74847870182555,,,59.43502824858757
2000-10-01,622.0,2.2,912.0,0.6,773.0,0.8,674.0,1.2,,,,,549.0,1.3,106.14334470989762,112.87128712871286,103.20427236315086,104.98442367601245,108.0708661417323,83.37801608579089,92.02825428859738,81.62618796198522,68.35699797160242,,,62.03389830508475
2000-11-01,622.0,2.2,912.0,0.6,773.0,0.8,674.0,1.2,,,,,549.0,1.3,106.14334470989762,112.87128712871286,103.20427236315086,104.98442367601245,108.0708661417323,83.37801608579089,92.02825428859738,81.62618796198522,68.35699797160242,,,62.03389830508475
2000-12-01,622.0,2.2,912.0,0.6,773.0,0.8,674.0,1.2,,,,,549.0,1.3,106.14334470989762,112.87128712871286,103.20427236315086,104.98442367601245,108.0708661417323,83.37801608579089,92.02825428859738,81.62618796198522,68.35699797160242,,,62.03389830508475
