date,tsx_cad,sp500_usd,vt_usd,usd_cad,sp500_cad,vt_cad,tsx_cad_index_1999,sp500_cad_index_1999,tsx_cad_index_2008,sp500_cad_index_2008,vt_cad_index_2008
1999-01-01,6729.6,1279.640015,,1.519442105263158,1944.338918370579,,100.0,100.0,49.5081991333711,151.4506922865519,
1999-02-01,6312.7,1238.329956,,1.4977421052631579,1854.6989153098737,,93.80498097955301,95.38969249580074,46.44115678037799,144.4683496549033,
1999-03-01,6597.8,1286.369995,,1.5175695652173913,1952.1559540208477,,98.04148834997622,100.40204079527552,48.538575285627054,152.0595858542711,
1999-04-01,7014.7,1335.180054,,1.4881,1986.8814383574,,104.2365073704232,102.1880197729351,51.60561763862016,154.7644633800288,
1999-05-01,6841.8,1301.839966,,1.4611100000000001,1902.1313927222602,,101.6672610556348,97.82920944236974,50.33363005686793,148.1630149589298,
1999-06-01,7010.1,1372.709961,,1.4694863636363635,2017.1785689173043,,104.16815263908701,103.74624248162287,51.57177644211317,157.12440245970268,
1999-07-01,7081.0,1328.719971,,1.489047619047619,1978.5273091985712,,105.22170708511649,101.75835552665085,52.09337227523192,154.11373390452346,
1999-08-01,6970.8,1320.410034,,1.4931954545454544,1971.630260905009,,103.58416547788873,101.40363093473957,51.2826549154338,153.57650105436318,
1999-09-01,6957.7,1282.709961,,1.477052380952381,1894.629801966386,,103.38950309082261,97.44339240784981,51.18628107320734,147.57869238918994,
1999-10-01,7256.2,1362.930054,,1.4776099999999999,2013.8790770909397,,107.82513076557298,103.57654512098323,53.38228045523766,156.8673946322219,
1999-11-01,7523.2,1388.910034,,1.46743,2038.12825119262,,111.7926771279125,104.8237131878551,55.34654120901353,158.75623930347618,
1999-12-01,8413.8,1469.25,,1.4722086956521738,2163.0426260869563,,125.02674750356633,111.24822970162312,61.8984911240427,168.4862140396417,
2000-01-01,8481.1,1394.459961,,1.4486,2020.0146995046002,,126.02680694246315,103.89210854234405,62.393602542503814,157.345317618476,
2000-02-01,9129.0,1366.420044,,1.45121,1982.96243205324,,135.65442225392297,101.98645993852908,67.16006150269627,154.45919961544922,
2000-03-01,9462.4,1498.579956,,1.4607739130434783,2189.0865063346437,,140.6086543033761,112.5877019511172,69.61281257126882,170.51485403448675,
2000-04-01,9347.6,1452.430054,,1.4688750000000002,2133.43819556925,,138.90275796481217,109.72563350000435,68.7682540149637,166.18023155156132,
2000-05-01,9252.0,1420.599976,,1.4957363636363636,2124.843042284145,,137.48216833095577,109.28357305447729,68.06494567016604,165.5107279464856,
2000-06-01,10195.5,1454.599976,,1.4770454545454543,2148.510282732727,,151.50231811697574,110.50081148060598,75.00606934502572,167.3542439696354,
2000-07-01,10406.3,1430.829956,,1.4777850000000001,2114.45904652746,,154.63474797907747,108.74951000309387,76.55687895886823,164.70188575791872,
2000-08-01,11247.9,1517.680054,,1.482813043478261,2250.4357798979913,,167.1406918687589,115.74297868727186,82.74834656327937,175.29354249494946,
2000-09-01,10377.9,1436.51001,,1.48643,2135.2715741642996,,154.21273181169758,109.8199266593773,76.34794635434675,166.3230391942105,
2000-10-01,9639.6,1429.400024,,1.5124761904761905,2161.933502966095,,143.24179743223965,111.191185988185,70.91643431497326,168.39982094073372,
2000-11-01,8819.9,1314.949951,,1.5426380952380954,2028.4918877440668,,131.0612815026153,104.32810188483039,64.88608023306284,158.00563255399484,
2000-12-01,8933.7,1320.280029,,1.521875,2009.3011691343752,,132.75231811697574,103.34109707675022,65.72328200751863,156.51080693925587,
2001-01-01,9321.9,1366.01001,,1.5032,2053.386247032,,138.52086305278172,105.60845270498449,68.57918472143545,159.9447327348148,
2001-02-01,8078.7,1239.939941,,1.5215631578947368,1886.6469322277737,,120.04725392296717,97.03282253943911,59.43323352632625,146.95688148116193,
2001-03-01,7608.0,1160.329956,,1.558740909090909,1808.6537704608545,,113.0527817403709,93.02152795339646,55.97039630983822,140.88174806094736,
2001-04-01,7946.6,1249.459961,,1.5577666666666665,1946.3670785804331,,118.08428435568237,100.10431104323901,58.4614026440274,151.6086720836687,
2001-05-01,8161.9,1255.819946,,1.54105,1935.2813277833002,,121.28358297669995,99.53415577388796,60.045317776191986,150.7451679811283,
2001-06-01,7736.4,1224.380005,,1.5245380952380954,1866.6139606703096,,114.9607703281027,96.00249951456993,56.91500709929448,145.39645012720982,
2001-07-01,7689.7,1211.22998,,1.5307904761904763,1854.1393178603812,,114.26682120779836,95.36091163644514,56.571445386929945,144.42476084416322,
2001-08-01,7399.2,1133.579956,,1.5398565217391305,1745.5504881593565,,109.95007132667615,89.7760401577615,54.4343002596944,135.96643432638265,
2001-09-01,6838.6,1040.939941,,1.5679388888888888,1632.1302144916056,,101.61970993818355,83.94268093236468,50.31008835495001,127.13177139595773,
2001-10-01,6885.7,1059.780029,,1.5716772727272728,1665.6321856695502,,102.31960294816926,85.66573296107273,50.65659278005429,129.74134562189354,
2001-11-01,7425.7,1139.449951,,1.592245,1814.283487229995,,110.34385401806941,93.31107195809388,54.629254978702114,141.32026446053578,
2001-12-01,7688.4,1148.079956,,1.578755,1812.53697093478,,114.24750356633379,93.22124624516319,56.561881570525784,141.18422279645094,
2002-01-01,7648.5,1130.199951,,1.5997142857142859,1807.997007328286,,113.65460057061341,92.9877497305587,56.26834597473681,140.83059070861748,
2002-02-01,7637.5,1106.72998,,1.5964,1766.7837400720002,,113.49114360437468,90.868095236844,56.187421374393985,137.62035930380355,
2002-03-01,7851.5,1147.390015,,1.5877428571428571,1821.7603006732857,,116.67112458392772,93.69561466166513,57.76177269015442,141.9026570472319,
2002-04-01,7663.4,1076.920044,,1.5814863636363639,1703.134364312673,,113.87601046124583,87.59452111054571,56.377962024292096,132.66250862701133,
2002-05-01,7656.1,1067.140015,,1.5501545454545456,1654.231944888682,,113.76753447456016,85.07940304332249,56.32425751679185,128.85334490237764,
2002-06-01,7145.6,989.8200073,,1.53184,1516.2458799824321,,106.1816452686638,77.98259170027296,52.56862038269979,118.10517499305857,
2002-07-01,6605.4,911.6199951,,1.54555,1408.954283426805,,98.15442225392296,72.46443868991501,48.5944868276821,109.74789405744028,
2002-08-01,6612.0,916.0700073,,1.5694181818181818,1437.6969252749345,,98.25249643366618,73.94271192595232,48.6430415878878,111.9867491073056,
2002-09-01,6180.4,815.2800293,,1.576135,1284.9913889807556,,91.83903946742747,66.08885811212488,45.46785454170927,100.09203313509016,
2002-10-01,6248.8,885.7600098,,1.578009090909091,1397.7373478281256,,92.85544460294817,71.88753640746317,45.97105842020467,108.87417155685004,
2002-11-01,6570.4,936.3099976,,1.5714526315789474,1471.366809702198,,97.6343319067998,75.67439996187765,48.33699946295492,114.60940262595791,
2002-12-01,6614.5,879.8200073,,1.5592190476190477,1371.8321138584897,,98.28964574417498,70.55519492497383,48.66143354251117,106.85633115799902,
2003-01-01,6569.5,855.7000122,,1.5414476190476192,1319.0167464247086,,97.62095815501664,67.83882860967925,48.33037835929051,102.74237556844668,
2003-02-01,6555.1,841.1500244,,1.5121473684210525,1271.942795843764,,97.40697812648598,65.41775118659326,48.22444070065991,99.07563705038953,
2003-03-01,6343.3,848.1799927,,1.4760809523809524,1251.9823314150851,,94.25968854018069,64.39115730215842,46.666274304968034,97.52085350544156,
2003-04-01,6586.1,916.9199829,,1.4582045454545456,1337.0568868828843,,97.86762957679505,68.76665761560658,48.45250093798969,104.14757902115906,
2003-05-01,6859.8,963.5900269,,1.3839571428571429,1333.5673005141614,,101.93473609129815,68.58718343362357,50.46605213015619,103.87576413007014,
2003-06-01,6983.1,974.5,,1.3525095238095237,1318.0205309523808,,103.76694008559201,67.78759189045735,51.373143332180774,102.6647772024802,
2003-07-01,7257.9,990.3099976,,1.382090909090909,1368.6984448648,,107.85039229671895,70.39402605857497,53.39478698438155,106.61223979408754,
2003-08-01,7510.3,1008.01001,,1.3962714285714286,1407.455576677,,111.60098668568712,72.38735815957924,55.25163872315695,109.6311550606286,
2003-09-01,7421.1,995.9699707,,1.3633714285714287,1357.8770017675029,,110.27549928673324,69.83746449438193,54.59541378219512,105.76932345211634,
2003-10-01,7772.7,1050.709961,,1.3220954545454544,1389.1388634837317,,115.50017831669044,71.44530464101786,57.18205828042581,108.20440848505757,
2003-11-01,7859.4,1058.199951,,1.3130444444444445,1389.4635667719335,,116.7885164051355,71.4620045735828,57.819891266764266,108.22970064853854,
2003-12-01,8220.9,1111.920044,,1.3127545454545455,1459.6780919430182,,122.16030670470755,75.07323328004344,60.479367905303505,113.69893152452389,
2004-01-01,8521.4,1131.130005,,1.295755,1465.6673596287749,,126.62565382786495,75.38126947831981,62.690080851032526,114.16545447930662,
2004-02-01,8788.5,1144.939941,,1.3298947368421052,1522.6496015362106,,130.5946861626248,78.31194382573187,64.65507728299333,118.6039810671266,
2004-03-01,8585.9,1126.209961,,1.3285782608695653,1496.258071359361,,127.5841060389919,76.95459146666032,63.164593280315465,116.54826152254488,
2004-04-01,8244.0,1107.300049,,1.3419727272727273,1485.9664666657545,,122.50356633380883,76.42528021354651,60.64930956602343,115.74661596535339,
2004-05-01,8417.3,1120.680054,,1.37886,1545.2608992584398,,125.07875653827863,79.47487367857761,61.92423986051542,120.36524638006843,
2004-06-01,8545.6,1140.839966,,1.357840909090909,1549.0791765606816,,126.9852591535901,79.67125288315793,62.868114971786746,120.66266404491215,
2004-07-01,8458.1,1101.719971,,1.3225047619047618,1457.0299079330762,,125.68503328578223,74.93703356789854,62.22439655996881,113.49265611758814,
2004-08-01,8377.0,1104.23999,,1.3126772727272729,1449.5107385095912,,124.47990965287683,74.55031243855005,61.6277615519867,112.90696428997147,
2004-09-01,8668.3,1114.579956,,1.2880952380952382,1435.6851338000001,,128.80854731336186,73.8392427490549,63.77079210470171,111.83004432259122,
2004-10-01,8871.0,1130.199951,,1.2469350000000001,1409.2858759001851,,131.8206134094151,72.48149294266113,65.26201178556452,109.77372284128857,
2004-11-01,9030.1,1173.819946,,1.1967700000000001,1404.7924967744202,,134.18479553019495,72.25039233137828,66.43247577779576,109.42371936562223,
2004-12-01,9246.7,1211.920044,,1.2188826086956523,1477.1882647612697,,137.40341179267713,75.97380532809593,68.0259547263645,115.06285412583857,
2005-01-01,9204.1,1181.27002,,1.2248350000000001,1446.8608649467,,136.77038754160722,74.41402583039472,67.71255581958229,112.70055727842639,
2005-02-01,9668.3,1203.599976,,1.2400526315789473,1492.5273176071578,,143.66827151688062,76.76271371752131,71.12757395404954,116.25766134312998,
2005-03-01,9612.4,1180.589966,,1.2160260869565216,1435.6281966551128,,142.83761293390393,73.83631439410868,70.716329848671,111.82560930875258,
2005-04-01,9369.3,1156.849976,,1.2359,1429.7508853384,,139.2252139800285,73.53403626444812,68.92789618109454,111.36780698875081,
2005-05-01,9607.3,1191.5,,1.2555285714285713,1495.9622928571428,,142.76182834046597,76.93937917525248,70.67881026123932,116.52522240189506,
2005-06-01,9902.8,1191.329956,,1.2401681818181818,1477.4495054780546,,147.1528768426058,75.98724129413644,72.8527392977216,115.08320298942232,
2005-07-01,10422.9,1234.180054,,1.222855,1509.2232499341699,,154.88141940085592,77.6214082675951,76.6790015375674,117.55816018384364,
2005-08-01,10668.9,1220.329956,,1.2042826086956522,1469.6221428811305,,158.53691155492155,75.58466936992255,78.48876987250696,114.47350502324906,
2005-09-01,11011.8,1228.810059,,1.1776809523809524,1447.1462005784142,,163.6323109843081,74.42870103074269,81.01141036864834,112.7227829709478,
2005-10-01,10383.3,1207.01001,,1.177415,1421.15169092415,,154.29297432239656,73.09176797814254,76.38767297633323,110.69798860737717,
2005-11-01,10824.1,1249.47998,,1.181545,1476.3168229691003,,160.84314075130766,75.9289858892658,79.63054241552577,114.99497477545137,
2005-12-01,11272.3,1248.290039,,1.1614809523809524,1449.8651033453762,,167.50326913932477,74.56853790492511,82.92785204040344,112.93456688496897,
2006-01-01,11945.6,1280.079956,,1.157165,1481.26372228474,,177.50832144555397,76.18341166189732,87.88117325956934,115.38030436945724,
2006-02-01,11688.3,1280.660034,,1.1488947368421052,1471.3435727466315,,173.68491440798857,75.67320485358934,85.98827328973213,114.60759262618167,
2006-03-01,12110.6,1294.869995,,1.1573086956521739,1498.564304952587,,179.96017593913456,77.07320420291921,89.09504226471174,116.72790133274897,
