date,canada_house_index_2010,canada_house_real_index,tsx_cad,tsx_real,tsx_real_index,sp500_usd,usd_cad,sp500_cad,sp500_real,sp500_real_index
1999-01-01,58.5525,100.0,6729.6,6729.600000000001,100.0,1279.640015,1.519442105263158,1944.338918370579,1944.338918370579,100.0
1999-02-01,58.5525,100.0,6312.7,6305.808406113538,93.70257379507751,1238.329956,1.4977421052631579,1854.6989153098737,1852.6741348346447,95.28555527691888
1999-03-01,58.7194,100.28504333717603,6597.8,6561.942391304348,97.50865417416112,1286.369995,1.5175695652173913,1952.1559540208477,1941.5464107924738,99.85637753008383
1999-04-01,58.7194,100.28504333717603,7014.7,6938.865405405405,103.10962620966184,1335.180054,1.4881,1986.8814383574,1965.4016390238064,101.08328442403851
1999-05-01,58.7194,100.28504333717603,6841.8,6753.233009708737,100.35118000637088,1301.839966,1.4611100000000001,1902.1313927222602,1877.5083326222955,96.56281190913518
1999-06-01,60.36,103.08697322915333,7010.1,6904.458019375673,102.59834194269601,1372.709961,1.4694863636363635,2017.1785689173043,1986.7797530240402,102.18278995768021
1999-07-01,60.36,103.08697322915333,7081.0,6959.307196562836,103.4133855884872,1328.719971,1.489047619047619,1978.5273091985712,1944.5246916398419,100.00955457237973
1999-08-01,60.36,103.08697322915333,6970.8,6836.315112540193,101.58575714069471,1320.410034,1.4931954545454544,1971.630260905009,1933.5923780579672,99.44729078808864
1999-09-01,59.4283,101.49575167584646,6957.7,6801.597756410257,101.06986680352851,1282.709961,1.477052380952381,1894.629801966386,1852.1220820504736,95.25716244998141
1999-10-01,59.4283,101.49575167584646,7256.2,7085.8303094983985,105.29348415208032,1362.930054,1.4776099999999999,2013.8790770909397,1966.5948298166593,101.1446518524009
1999-11-01,59.4283,101.49575167584646,7523.2,7354.410256410256,109.28450808978623,1388.910034,1.46743,2038.12825119262,1992.4010147876575,102.47189910992248
1999-12-01,60.0764,102.6026215789249,8413.8,8216.250800426893,122.09122088128406,1469.25,1.4722086956521738,2163.0426260869563,2112.2561396686924,108.636211501585
2000-01-01,60.0764,102.6026215789249,8481.1,8299.686096256686,123.33104636615377,1394.459961,1.4486,2020.0146995046002,1976.8058289269618,101.66981745052921
2000-02-01,60.0764,102.6026215789249,9129.0,8876.764080765144,131.90626605987194,1366.420044,1.45121,1982.96243205324,1928.1728218158498,99.16855562566855
2000-03-01,60.0711,102.59356987319073,9462.4,9133.012658227848,135.71404924851174,1498.579956,1.4607739130434783,2189.0865063346437,2112.884127949577,108.66850979459097
2000-04-01,60.0711,102.59356987319073,9347.6,9050.850793650794,134.49314660084985,1452.430054,1.4688750000000002,2133.43819556925,2065.709998884512,106.24228005555976
2000-05-01,60.0711,102.59356987319073,9252.0,8920.526870389884,132.55656904407218,1420.599976,1.4957363636363636,2124.843042284145,2048.7158942992546,105.36825009994384
2000-06-01,60.7041,103.6746509542718,10195.5,9768.46335078534,145.1566712848511,1454.599976,1.4770454545454543,2148.510282732727,2058.5203232465396,105.87250524058061
2000-07-01,60.7041,103.6746509542718,10406.3,9939.211377870564,147.69393987563245,1430.829956,1.4777850000000001,2114.45904652746,2019.5511770069165,103.86826894867527
2000-08-01,60.7041,103.6746509542718,11247.9,10754.261755485893,159.8053636989701,1517.680054,1.482813043478261,2250.4357798979913,2151.6705732567,110.66334952858281
2000-09-01,60.0071,102.48426625677811,10377.9,9881.14308012487,146.83106098616364,1436.51001,1.48643,2135.2715741642996,2033.0629452240732,104.56319759971929
2000-10-01,60.0071,102.48426625677811,9639.6,9159.121495327105,136.1020193670813,1429.400024,1.5124761904761905,2161.933502966095,2054.1735775846073,105.64894618815086
2000-11-01,60.0071,102.48426625677811,8819.9,8354.253105590062,124.14189707545857,1314.949951,1.5426380952380954,2028.4918877440668,1921.3975955339765,98.82009650581762
2000-12-01,60.2182,102.84479740403911,8933.7,8453.294208893485,125.61362055535965,1320.280029,1.521875,2009.3011691343752,1901.2518818593105,97.78397500023416
2001-01-01,60.2182,102.84479740403911,9321.9,8857.257009345794,131.61639635856207,1366.01001,1.5032,2053.386247032,1951.0367767749533,100.34447998448684
2001-02-01,60.2182,102.84479740403911,8078.7,7636.374483471074,113.47441873916834,1239.939941,1.5215631578947368,1886.6469322277737,1783.3491146574513,91.72007502436651
2001-03-01,59.9294,102.35156483497715,7608.0,7169.227600411947,106.53274489437628,1160.329956,1.558740909090909,1808.6537704608545,1704.3441812272727,87.6567436430049
2001-04-01,59.9294,102.35156483497715,7946.6,7434.702453987731,110.47762800148195,1249.459961,1.5577666666666665,1946.3670785804331,1820.9876041933499,93.65587382879721
2001-05-01,59.9294,102.35156483497715,8161.9,7574.176977687627,112.55018095707956,1255.819946,1.54105,1935.2813277833002,1795.925370103164,92.36688897881082
2001-06-01,61.4651,104.97433926817811,7736.4,7172.042553191489,106.57457431632619,1224.380005,1.5245380952380954,1866.6139606703096,1730.447592718676,88.99927766548278
