date,bc_vancouver,bc_vancouver_real,bc_vancouver_real_index_1999,on_toronto,on_toronto_real,on_toronto_real_index_1999,qc_montreal,qc_montreal_real,qc_montreal_real_index_1999,ab_calgary,ab_calgary_real,ab_calgary_real_index_1999,on_ottawa,on_ottawa_real,on_ottawa_real_index_1999,ab_edmonton,ab_edmonton_real,ab_edmonton_real_index_1999
1999-02-01,66.15,66.15,100.0,67.33,67.33,100.0,58.7,58.7,100.0,69.33,69.33,100.0,62.08,62.07999999999999,100.0,61.22,61.22,100.0
1999-03-01,67.03,66.7385652173913,100.88974333694829,68.45,68.15239130434782,101.22143369129336,58.94,58.68373913043477,99.97229834827048,69.44,69.13808695652173,99.72318903291755,65.25,64.96630434782608,104.64933045719408,61.85,61.58108695652173,100.58981861568397
1999-04-01,66.8,66.15005405405404,100.00008171436741,69.1,68.42767567567566,101.63029210704838,59.88,59.29738378378378,101.01768958055158,68.84,68.17020540540541,98.32713890870534,64.28,63.654572972972964,102.5363611033714,62.7,62.08994594594595,101.42101591954582
1999-05-01,67.19,66.39270765911542,100.36690500244202,69.97,69.13971952535059,102.68783532652694,59.92,59.20897518878101,100.86707868616867,69.22,68.39861920172599,98.6565977235338,64.05,63.28996763754044,101.94904580789377,62.41,61.66942826321466,100.7341199987172
1999-06-01,67.19,66.24977395048438,100.15082985711923,72.6,71.58406889128094,106.31823687996575,60.14,59.29842841765339,101.01946919532094,69.61,68.63590958019375,98.9988599166216,63.33,62.443789020452094,100.58600035510969,63.07,62.187427341227114,101.58024720879959
1999-07-01,67.19,66.10745435016112,99.93568306902662,70.33,69.19686358754028,102.77270694718592,60.45,59.47604726100967,101.32205666270812,69.99,68.86234156820622,99.32546021665401,65.02,63.972416756176145,103.04835173353118,63.61,62.58513426423201,102.22988282298597
1999-08-01,67.39,66.16210075026795,100.0182928953408,70.64,69.35288317256163,103.00443067363973,60.91,59.800171489817785,101.87422741025176,70.24,68.96017148981778,99.46656784915301,63.66,62.50006430868167,100.67664998176818,63.6,62.4411575562701,101.99470362017331
1999-09-01,67.54,66.09683760683761,99.91963357042721,70.78,69.26760683760685,102.8777763814152,60.76,59.4617094017094,101.29763100802282,70.51,69.00337606837607,99.5288851411742,64.72,63.33709401709401,102.02495814609216,63.51,62.15294871794872,101.5239279940358
1999-10-01,67.39,65.87965848452508,99.59132046035538,71.08,69.48695837780149,103.2035621235727,60.92,59.55466382070437,101.45598606593589,70.77,69.18390608324438,99.78927748917407,64.26,62.81980789754535,101.19170086589138,63.8,62.3701173959445,101.87866284865159
1999-11-01,67.73,66.28277777777778,100.20072226421432,71.16,69.63948717948718,103.4301012616771,61.32,60.009743589743586,102.23124972699078,70.52,69.01316239316239,99.54300071132612,65.74,64.33529914529913,103.63289166446383,64.25,62.87713675213675,102.70685519787119
