date,house_price_at_purchase,down_payment,initial_loan_amount,mortgage_type,mortgage_term_years,mortgage_rate,mortgage_payment,mortgage_interest,mortgage_principal,mortgage_balance,house_price,owner_networth,rent,maintenance_cost,property_tax,depreciation_cost,owner_monthly_cost,purchase_cost,sale_cost,owner_total_cost
2005-01-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,884.4266666666666,290.73706503652613,189229.26293496348,236900.0,47670.73706503652,,,197.41666666666666,197.41666666666666,,4738,0,
2005-02-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,883.0698936964961,292.0938380066966,188937.1690969568,237600.0,48662.830903043214,,,198.0,198.0,,0,0,
2005-03-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,881.7067891191316,293.45694258406115,188643.7121543727,238500.0,49856.28784562729,,,198.75,198.75,,0,0,
2005-04-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,880.3373233870726,294.82640831612014,188348.8857460566,239300.0,50951.11425394341,,,199.41666666666666,199.41666666666666,,0,0,
2005-05-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,878.9614668149306,296.2022648882621,188052.68348116832,239800.0,51747.31651883168,,,199.83333333333334,199.83333333333334,,0,0,
2005-06-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,877.5791895787854,297.58454212440733,187755.0989390439,241100.0,53344.901060956094,,,200.91666666666666,200.91666666666666,,0,0,
2005-07-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,876.1904617155382,298.9732699876546,187456.12566905626,243000.0,55543.87433094374,,,202.5,202.5,,0,0,
2005-08-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,874.7952531222625,300.3684785809303,187155.75719047533,245100.0,57944.24280952467,,,204.25,204.25,,0,0,
2005-09-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,873.3935335555515,301.7701981476413,186853.9869923277,247300.0,60446.0130076723,,,206.08333333333334,206.08333333333334,,0,0,
2005-10-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,871.9852726308625,303.17845907233027,186550.80853325536,250000.0,63449.19146674464,703.0,234.33333333333334,208.33333333333334,208.33333333333334,1522.9852726308623,0,0,1522.9852726308623
2005-11-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,870.5704398218583,304.5932918813345,186246.215241374,252500.0,66253.78475862599,703.0,234.33333333333334,210.41666666666666,210.41666666666666,1525.7371064885251,0,0,1525.7371064885251
2005-12-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,869.1490044597452,306.0147272434475,185940.20051413056,255000.0,69059.79948586944,703.0,234.33333333333334,212.5,212.5,1528.4823377930786,0,0,1528.4823377930786
2006-01-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,867.7209357326092,307.4427959705836,185632.75771815996,258000.0,72367.24228184004,703.0,234.33333333333334,215.0,215.0,1532.0542690659424,0,0,1532.0542690659424
2006-02-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,866.2862026847464,308.87752901844635,185323.88018914152,260400.0,75076.11981085848,703.0,234.33333333333334,217.0,217.0,1534.6195360180798,0,0,1534.6195360180798
2006-03-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,864.8447742159937,310.3189574871991,185013.5612316543,263000.0,77986.43876834569,703.0,234.33333333333334,219.16666666666666,219.16666666666666,1537.5114408826605,0,0,1537.5114408826605
2006-04-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,863.3966190810534,311.7671126221394,184701.79411903216,265900.0,81198.20588096784,703.0,234.33333333333334,221.58333333333334,221.58333333333334,1540.8966190810531,0,0,1540.8966190810531
