date,canada_house_index_2010,canada_house_real_index,tsx_cad,tsx_real,tsx_real_index,sp500_usd,usd_cad,sp500_cad,sp500_real,sp500_real_index,start_year,base_date,end_date
1990-01-01,69.7457,100.0,3694.99,3694.99,100.0,329.0799866,1.1720380952380953,385.6942806756419,385.6942806756419,100.0,1990,1990-01-01,2025-12-01
1990-02-01,69.7457,100.0,3677.34,3653.523031088083,98.87775152539203,331.8900146,1.196478947368421,397.09941531069785,394.5275279058358,102.29021991581526,1990,1990-01-01,2025-12-01
1990-03-01,67.5219,96.81155970905733,3630.26,3592.786348387097,97.23399382372068,339.9400024,1.1799863636363637,401.1245672865128,396.98392659194235,102.92709705119914,1990,1990-01-01,2025-12-01
1990-04-01,67.5219,96.81155970905733,3332.42,3298.020825806452,89.2565561965378,330.7999878,1.164095238095238,385.0826905599428,381.1076434315821,98.81081014838355,1990,1990-01-01,2025-12-01
1990-05-01,67.5219,96.81155970905733,3572.9,3517.8617458279846,95.20625890267591,361.230011,1.1746999999999999,424.3368939216999,417.80025370724496,108.32420252002733,1990,1990-01-01,2025-12-01
1990-06-01,62.4101,89.48236235352144,3534.9,3467.095012787724,93.83232465548551,358.019989,1.1730476190476191,419.9744956679048,411.91871889678134,106.7992810718377,1990,1990-01-01,2025-12-01
1990-07-01,62.4101,89.48236235352144,3552.06,3470.61149044586,93.92749345589189,356.1499939,1.1570285714285713,412.0757186564114,402.626848674481,104.39015273163434,1990,1990-01-01,2025-12-01
1990-08-01,62.4101,89.48236235352144,3337.8,3257.1152671755726,88.1495015460278,322.5599976,1.144808695652174,369.2694901220243,360.3431284015174,93.42713813912006,1990,1990-01-01,2025-12-01
1990-09-01,62.1317,89.08319796059112,3151.38,3067.39652284264,83.01501554382124,306.0499878,1.1583368421052633,354.50897639460635,345.06140215058764,89.46500361533093,1990,1990-01-01,2025-12-01
1990-10-01,62.1317,89.08319796059112,3073.48,2965.231647798742,80.250058803914,304.0,1.1600227272727273,352.6469090909091,340.2266405946255,88.21148190183992,1990,1990-01-01,2025-12-01
1990-11-01,62.1317,89.08319796059112,3143.0,3013.35125,81.55235196847624,322.2200012,1.16348,374.896526996176,359.43204525758375,93.19091914662225,1990,1990-01-01,2025-12-01
1990-12-01,61.7145,88.48502488325445,3248.53,3118.426170212766,84.39606521838398,330.2200012,1.160265,383.142709692318,367.79782019275086,95.35993625533135,1990,1990-01-01,2025-12-01
1991-01-01,61.7145,88.48502488325445,3264.59,3053.5860121951223,82.64125240379873,343.9299927,1.1560333333333335,397.59453589429006,371.8963524767323,96.42257381293314,1990,1990-01-01,2025-12-01
1991-02-01,61.7145,88.48502488325445,3453.61,3230.3888658536584,87.42618696812869,367.0700073,1.1548947368421052,423.9272194833631,396.52704554114575,102.80864026464886,1990,1990-01-01,2025-12-01
1991-03-01,62.8823,90.1593933389442,3486.82,3249.563718104496,87.94512889356929,375.2200012,1.1571571428571428,434.1885045314457,404.64469377353447,104.91332489159448,1990,1990-01-01,2025-12-01
1991-04-01,62.8823,90.1593933389442,3459.99,3224.5593317132443,87.26841836414292,375.3399963,1.1535136363636362,432.9598040047268,403.4995986289495,104.61643297435394,1990,1990-01-01,2025-12-01
1991-05-01,62.8823,90.1593933389442,3537.09,3280.469201934704,88.78154479267073,389.8299866,1.1498545454545455,448.24778204649454,415.7267821398565,107.78660793507359,1990,1990-01-01,2025-12-01
1991-06-01,64.6421,92.68255964166967,3457.0,3190.7569193742484,86.35360094003633,371.1600037,1.143895,424.56807243241155,391.86968899598037,101.6011148284389,1990,1990-01-01,2025-12-01
1991-07-01,64.6421,92.68255964166967,3537.96,3261.5568749999998,88.26970776646216,387.8099976,1.1493318181818182,445.72236965069453,410.900309521734,106.53523531692959,1990,1990-01-01,2025-12-01
1991-08-01,64.6421,92.68255964166967,3517.9,3239.170828331333,87.66385912631247,395.4299927,1.1451500000000001,452.8266561404051,416.94843368510294,108.10334883750711,1990,1990-01-01,2025-12-01
1991-09-01,60.6376,86.94098704292881,3387.9,3126.9787003610113,84.62752809509665,387.8599854,1.136955,440.979349700457,407.01704117960355,105.52840982412532,1990,1990-01-01,2025-12-01
1991-10-01,60.6376,86.94098704292881,3515.8,3248.9380722891574,87.92819661999512,392.4500122,1.127940909090909,442.6604235336063,409.0608974099712,106.05832596049822,1990,1990-01-01,2025-12-01
1991-11-01,60.6376,86.94098704292881,3448.5,3175.2695078031215,85.9344547022623,375.2200012,1.1301736842105263,424.06377114568215,390.4644807547878,101.23678268466665,1990,1990-01-01,2025-12-01
1991-12-01,61.4683,88.13202821105818,3512.4,3249.7114595898674,87.94912732077401,417.0899963,1.146652380952381,478.25723732881477,442.4889035358274,114.72529557884425,1990,1990-01-01,2025-12-01
1992-01-01,61.4683,88.13202821105818,3596.1,3311.174909963986,89.61255402488196,408.7799988,1.157057142857143,472.9818174686743,435.5066674651539,112.91499233596436,1990,1990-01-01,2025-12-01
1992-02-01,61.4683,88.13202821105818,3581.9,3298.1,89.2586989409985,412.7000122,1.182457894736842,488.00038758388104,449.33529084854354,116.5003769465853,1990,1990-01-01,2025-12-01
1992-03-01,62.2387,89.23661243632223,3412.1,3130.479306220096,84.72226734632831,403.6900024,1.1928363636363637,481.53611449917094,441.79210504888056,114.5446347493069,1990,1990-01-01,2025-12-01
1992-04-01,62.2387,89.23661243632223,3355.6,3074.964396654719,83.2198300037272,414.9500122,1.1874318181818182,492.7248474412136,451.517273581136,117.06610551501784,1990,1990-01-01,2025-12-01
1992-05-01,62.2387,89.23661243632223,3387.9,3100.8583532219573,83.92061556924261,415.3500061,1.1990750000000001,498.0358085643575,455.83945724207905,118.18672977041817,1990,1990-01-01,2025-12-01
1992-06-01,62.3972,89.46386658962487,3387.7,3093.292738095238,83.71586223765797,408.1400146,1.1960454545454544,488.1540092804454,445.7311013310734,115.56590897595413,1990,1990-01-01,2025-12-01
1992-07-01,62.3972,89.46386658962487,3443.4,3136.6838479809976,84.890185033816,424.2099915,1.192404347826087,505.82983825586746,460.77373627345645,119.4660536490958,1990,1990-01-01,2025-12-01
1992-08-01,62.3972,89.46386658962487,3402.9,3099.791330166271,83.8917380064972,414.0299988,1.1907476190476192,493.0052352853886,449.09146729678514,116.4371601544329,1990,1990-01-01,2025-12-01
1992-09-01,62.2764,89.2906659478649,3297.9,3004.14406175772,81.30317163937441,417.7999878,1.2224761904761905,510.75053746674286,465.2561309227931,120.62821624105453,1990,1990-01-01,2025-12-01
1992-10-01,62.2764,89.2906659478649,3336.1,3035.3365361803085,82.1473545579368,418.6799927,1.245304761904762,521.3841886235609,474.3792083917809,122.9935812272831,1990,1990-01-01,2025-12-01
1992-11-01,62.2764,89.2906659478649,3282.8,2972.7362455726093,80.45316078183187,431.3500061,1.2674315789473685,546.70661931028,495.0696304734176,128.35804295728133,1990,1990-01-01,2025-12-01
1992-12-01,63.3468,90.82538421723491,3350.4,3033.9513577331763,82.10986654180867,435.7099915,1.2724681818181818,554.4271006840204,502.06090463358163,130.17068953008427,1990,1990-01-01,2025-12-01
