date,canada_house_real,canada_house_real_index_1999,bc_vancouver,bc_vancouver_real,bc_vancouver_real_index_1999,on_toronto,on_toronto_real,on_toronto_real_index_1999,qc_montreal,qc_montreal_real,qc_montreal_real_index_1999,ab_calgary,ab_calgary_real,ab_calgary_real_index_1999,on_ottawa,on_ottawa_real,on_ottawa_real_index_1999,ab_edmonton,ab_edmonton_real,ab_edmonton_real_index_1999
2007-12-01,98.7641,168.67614533965246,143.01,135.46759048603928,204.7884965775348,113.11,107.14452947259564,159.13341671260306,117.46,111.26510858324714,189.5487369390922,170.07,161.1004343329886,232.36756719023313,110.71,104.8711065149948,168.92897312338084,180.31,170.8003722854188,278.99440098892325
2008-01-01,98.7641,168.67614533965246,145.49,137.8167942088935,208.33982495675508,114.3,108.2717683557394,160.8076167469767,119.39,113.09331954498448,192.66323602212006,167.17,158.35338159255426,228.40528139702042,113.4,107.41923474663908,173.03356112538512,179.56,170.08992761116855,277.83392291925605
2008-02-01,98.7641,168.67614533965246,146.47,138.74510858324714,209.7431724614469,112.28,106.35830403309204,157.96569736089714,118.12,111.89029989658738,190.61379880168207,167.67,158.82701137538777,229.08843411998814,110.06,104.25538779731127,167.93715817865865,175.32,166.07354705274042,271.27335356540414
2008-03-01,99.9306,170.66837453567308,150.02,142.10788004136504,214.8267271978307,112.64,106.69931747673215,158.47217804356475,118.27,112.03238883143743,190.85585831590703,167.88,159.02593588417784,229.37535826363455,114.72,108.66961737331954,175.04770839774412,177.73,168.3564426059979,275.00235642926805
2008-04-01,99.9306,170.66837453567308,151.0,143.03619441571868,216.23007470252253,114.97,108.9064322647363,161.75023357305258,121.16,114.76996897621508,195.51953828997458,169.72,160.76889348500515,231.8893602841557,113.83,107.82655635987591,173.68968485804757,177.81,168.43222337125127,275.1261407566993
2008-05-01,99.9306,170.66837453567308,150.74,142.78990692864528,215.85775801760434,115.13,109.057993795243,161.9753360986826,123.45,116.93919338159255,199.21498020714233,169.2,160.27631851085832,231.17888145226934,116.07,109.94841778697,177.1076317444749,177.25,167.90175801447776,274.2596504646811
2008-06-01,98.653,168.48640109303616,150.9,142.94146845915202,216.08687597755406,116.92,110.75358841778696,164.49367060416895,123.68,117.15706308169595,199.5861381289539,168.69,159.79321613236814,230.48206567484226,116.68,110.52624612202689,178.0384119233681,176.25,166.95449844881074,272.7123463717915
2008-07-01,98.653,168.48640109303616,151.11,143.1403929679421,216.38759329998805,118.94,112.66705274043433,167.33558999024854,123.07,116.57923474663907,198.60176277110574,167.55,158.71334022750776,228.9244774664759,117.27,111.08512926577042,178.9386747193467,175.9,166.62295760082728,272.1707899392801
2008-08-01,98.653,168.48640109303616,149.35,141.47321613236812,213.86729574054138,118.25,112.0134436401241,166.3648353484689,124.0,117.4601861427094,200.10253175930052,162.85,154.26122026887276,222.5028418705795,120.27,113.92690796277144,183.5162821565262,172.64,163.53489141675283,267.12657859646004
2008-09-01,95.68,163.40890653686864,149.41,141.53005170630814,213.9532149755225,115.37,109.28533609100309,162.3129898871277,123.7,117.17600827300929,199.61841273085057,158.89,150.51007238883142,217.09227230467536,118.27,112.03238883143743,180.4645438650732,170.52,161.52670113753877,263.84629391953405
2008-10-01,95.68,163.40890653686864,145.5,137.82626680455016,208.35414482925194,113.36,107.38134436401239,159.48513940890004,122.56,116.0961323681489,197.77876042274087,162.31,153.7497001034126,221.76503692977442,119.62,113.3111892450879,182.524467211804,169.51,160.56996897621508,262.2835167857156
2008-11-01,95.68,163.40890653686864,143.75,136.16856256463288,205.84816714230217,112.47,106.53828335056876,158.2330066100828,123.82,117.28967942088933,199.81206034223052,158.76,150.3869286452947,216.91465259670372,116.4,110.26101344364012,177.61116856256464,162.85,154.26122026887276,251.97847152707084
2008-12-01,93.3232,159.38380086247383,137.15,129.9166494312306,196.39705129437732,111.58,105.69522233712513,156.9808738112656,120.65,114.28686659772492,194.69653594160974,154.66,146.50316442605998,211.31280026836868,114.88,108.82117890382625,175.29184746106034,162.07,153.52235780765253,250.77157433461701
2009-01-01,93.3232,159.38380086247383,133.73,126.6770217166494,191.4996549004526,108.35,102.63557394002068,152.4366165751087,123.9,117.3654601861427,199.9411587498172,151.79,143.78452947259564,207.39150363853406,115.0,108.9348500517063,175.47495175854755,158.42,150.06486039296792,245.12391439556995
2009-02-01,93.3232,159.38380086247383,134.97,127.85162357807653,193.27531909006277,102.86,97.43511892450879,144.71278616442714,119.45,113.15015511892452,192.76005982781007,158.75,150.37745604963806,216.90098954224442,114.48,108.44227507755946,174.68149980276976,156.4,148.15139607032057,241.998360127933
2009-03-01,90.6825,154.87383117714873,131.97,125.00984488107548,188.979357341006,104.45,98.94126163391934,146.9497425128759,121.66,115.2435987590486,196.32640333739113,150.08,142.16471561530506,205.0551213259845,113.06,107.0971664943123,172.51476561583814,155.99,147.7630196483971,241.36396544984825
2009-04-01,90.6825,154.87383117714873,132.98,125.96657704239915,190.42566446318844,106.58,100.95892450879006,149.94641988532612,124.25,117.69700103412615,200.50596428300875,148.49,140.65857290589452,202.88269566694726,114.35,108.31913133402273,174.4831368138253,157.06,148.7765873836608,243.01958082924014
2009-05-01,90.6825,154.87383117714873,134.45,127.35904860392966,192.53068572022622,109.09,103.33654601861427,153.47771575614775,124.68,118.10432264736296,201.199868223787,146.43,138.70721820062047,200.06810644832035,118.88,112.6102171664943,181.39532404396635,156.0,147.77249224405375,241.37943849077712
2009-06-01,91.9593,157.0544383245805,137.11,129.87875904860394,196.3397718043899,112.23,106.31094105480868,157.89535282163774,127.26,120.54825232678387,205.36329186845634,149.35,141.47321613236812,204.05771835045164,120.72,114.35317476732159,184.2029232721031,157.58,149.26916235780763,243.8241789575427
2009-07-01,91.9593,157.0544383245805,139.53,132.17112719751808,199.805180948629,113.87,107.86444674250258,160.20265370934587,126.22,119.56310237849016,203.68501256982992,153.18,145.1012202688728,209.29066820838423,121.39,114.9878386763185,185.22525559973988,159.42,151.01211995863494,246.67121848845954
2009-08-01,91.9593,157.0544383245805,141.64,134.16984488107548,202.82667404546558,118.23,111.99449844881075,166.3366975327651,128.68,121.89336091003102,207.65478860311924,153.24,145.15805584281281,209.37264653514038,123.96,117.4222957600827,189.14673930425695,162.65,154.07176835573938,251.66901070849295
2009-09-01,95.0574,162.34558729345457,145.91,138.2146432264736,208.941259601623,117.66,111.45456049638055,165.534769785208,126.78,120.09356773526369,204.58870142293642,153.89,145.77377456049635,210.26074507499834,122.99,116.5034539813857,187.66664623290225,163.86,155.21795243019648,253.54124866088935
2009-10-01,95.0574,162.34558729345457,147.08,139.32293691830404,210.61668468375515,119.42,113.12173733195449,168.01089756713873,128.31,121.54287487073422,207.05770846803105,155.32,147.12835573940018,212.21456186268597,123.41,116.90130299896587,188.30751127410744,164.45,155.77683557394,254.45415807569424
2009-11-01,95.0574,162.34558729345457,149.75,141.85211995863494,214.44009064041563,121.03,114.64682523267837,170.27599173129119,129.36,122.5374974146846,208.7521250676058,157.51,149.20285418821095,215.2067707892845,123.79,117.26126163391933,188.88734154948347,163.0,154.40330920372284,252.21056714100433
2009-12-01,97.6107,166.70628922761622,151.28,143.30142709410546,216.63103113243457,122.05,115.61302998965873,171.7110203321829,128.42,121.64707342295756,207.2352187784626,162.12,153.56972078593589,221.50543889504672,124.08,117.53596690796276,189.32984360174416,166.17,157.40612202688726,257.11552111546433
2010-01-01,97.6107,166.70628922761622,151.86,143.85083764219235,217.46158373725223,121.77,115.34779731127196,171.31709091233026,130.73,123.83524301964837,210.96293529752703,155.51,147.3083350568769,212.47415989741367,125.41,118.79582213029987,191.3592495655604,162.3,153.74022750775595,251.12745427598165
2010-02-01,97.6107,166.70628922761622,151.82,143.81294725956565,217.40430424726475,122.43,115.97298862461219,172.24563883055427,130.63,123.74051706308167,210.8015622880437,155.7,147.48831437435365,212.73375793214143,121.58,115.16781799379523,185.5151707374279,166.81,158.01236814891416,258.10579573491367
2010-03-01,100.2438,171.20327910849235,154.35,146.2095139607032,221.02723198896928,121.94,115.50883143743536,171.5562623458122,131.46,124.52674250258532,212.14095826675523,158.8,150.4248190279214,216.96930481454118,125.82,119.18419855222335,191.98485591530826,167.37,158.5428335056877,258.9722860269319
2010-04-01,100.2438,171.20327910849235,156.36,148.1135056876939,223.90552636083734,123.73,117.20442605997931,174.07459685129857,134.02,126.95172699069286,216.27210730952785,157.08,148.79553257497415,214.61925944753233,128.66,121.87441571871766,196.3183242891715,169.13,160.2100103412616,261.6955412304175
2010-05-01,100.2438,171.20327910849235,156.87,148.59660806618405,224.63583985817692,126.74,120.055677352637,178.3093381147141,136.11,128.9314994829369,219.64480320772898,160.54,152.07305067218198,219.34667629046874,130.16,123.29530506721818,198.60712800776128,169.62,160.67416752843846,262.4537202359335
2010-06-01,101.3371,173.07049229324113,158.04,149.70490175801444,226.31126494030903,131.37,124.44148914167528,184.82324245013407,136.11,128.9314994829369,219.64480320772898,160.65,152.17724922440536,219.49696988952164,134.84,127.72847983453981,205.74819560976132,169.96,160.99623578076523,262.9798036275159
2010-07-01,101.3371,173.07049229324113,154.41,146.2663495346432,221.1131512239504,128.53,121.75127197518097,180.82767262020047,137.71,130.44711478800411,222.22677135946185,159.38,150.97422957600824,217.76176197318367,134.21,127.13170630816958,204.7868980479536,169.75,160.79731127197516,262.65486976800906
2010-08-01,101.3371,173.07049229324113,155.21,147.02415718717683,222.25874102369886,128.1,121.34395036194415,180.22270958256968,139.56,132.1995449844881,225.2121720349031,157.75,149.43019648397103,215.534684096309,134.97,127.85162357807653,205.9465585987058,167.8,158.9501551189245,259.63762678687436
2010-09-01,99.7146,170.29947483028053,156.08,147.84827300930712,223.5045699309253,124.63,118.05695966907962,175.34079855796764,136.69,129.48091003102377,220.58076666273215,150.41,142.47731127197517,205.5060021231432,132.14,125.17087900723885,201.62834891629973,161.36,152.84980351602894,249.67298842866538
2010-10-01,99.7146,170.29947483028053,154.67,146.5126370217166,221.48546790886866,125.17,118.5684798345398,176.1005195819691,136.09,128.91255429162356,219.61252860583232,154.52,146.3705480868666,211.12151750593767,133.29,126.26022750775594,203.38309843388527,166.05,157.29245087900725,256.9298446243176
2010-11-01,99.7146,170.29947483028053,158.4,150.0459152016546,226.8267803501959,126.06,119.41154084798345,177.35265238078634,137.6,130.34291623578073,222.0492610490302,155.2,147.01468459152014,212.05060520917374,131.82,124.86775594622543,201.14007078966728,162.65,154.07176835573938,251.66901070849295
2010-12-01,98.7219,168.6040732675804,158.38,150.02697001034124,226.79814060520215,126.85,120.15987590486039,178.46409610108478,139.06,131.7259152016546,224.40530698748654,152.3,144.26763185108584,208.0883194159611,131.52,124.58357807652533,200.68231004594935,161.18,152.67929679420888,249.39447369194525
2011-01-01,98.7219,168.6040732675804,158.38,150.02697001034124,226.79814060520215,127.33,120.61456049638055,179.139403677975,138.92,131.5932988624612,224.17938477420986,150.06,142.1457704239917,205.02779521706577,130.93,124.0246949327818,199.7820472499707,160.06,151.61836608066184,247.66149310790894
2011-02-01,98.7219,168.6040732675804,160.76,152.28144777662874,230.20627025945385,126.11,119.4589038262668,177.42299692004576,139.77,132.39846949327818,225.55105535481803,153.61,145.5085418821096,209.87817955013645,133.42,126.38337125129263,203.58146142282965,157.93,149.6007032057911,244.36573539005403
2011-03-01,100.5969,171.8063276546689,162.72,154.1380765253361,233.0129652688376,128.02,121.26816959669081,180.11015831975465,140.85,133.42150982419855,227.29388385723772,150.75,142.79937952430194,205.97054597476122,131.15,124.23309203722853,200.1177384620305,162.25,153.6928645294726,251.05008907133714
