start_year,holding_period,end_year,start_date,end_date,Attribute,start_value,end_value,total_growth,cagr
2000,5,2005,2000-01-01,2005-12-01,Calgary,99.9038158200222,130.21849599217578,0.3034386617100371,0.0544308886459004
2000,5,2005,2000-01-01,2005-12-01,Canada,102.6026215789249,141.71862858118783,0.3812378904195326,0.06672800463085116
2000,5,2005,2000-01-01,2005-12-01,Edmonton,103.61683207927226,145.18841790653246,0.4012049489744658,0.06979443036060284
2000,5,2005,2000-01-01,2005-12-01,Montreal,101.9400377155663,145.7798775197431,0.4300551656307896,0.07416391359744967
2000,5,2005,2000-01-01,2005-12-01,Ottawa,103.5385770990683,139.73515406430846,0.3495950782731576,0.06179505193894208
2000,5,2005,2000-01-01,2005-12-01,S&P 500(CAD),106.70013640058704,66.54836368530643,-0.37630479275619466,-0.09009828970951184
2000,5,2005,2000-01-01,2005-12-01,TSX,131.6196998343633,152.0129510564147,0.15494072124245273,0.029228820459146432
2000,5,2005,2000-01-01,2005-12-01,Toronto,106.01429148951887,129.34517167565622,0.2200729718449701,0.04058404160018547
2000,5,2005,2000-01-01,2005-12-01,Vancouver,100.36712866964965,136.06661665079082,0.3556890433584403,0.06275221113435037
2000,10,2010,2000-01-01,2010-12-01,Calgary,99.9038158200222,171.2522594682846,0.7141713563453609,0.0553716491510412
2000,10,2010,2000-01-01,2010-12-01,Canada,102.6026215789249,168.6040732675804,0.6432725662656218,0.050923153881116345
2000,10,2010,2000-01-01,2010-12-01,Edmonton,103.61683207927226,205.24634558307326,0.9808205043949727,0.07074119631831133
2000,10,2010,2000-01-01,2010-12-01,Montreal,101.9400377155663,184.68079306970165,0.8116610235617048,0.0612255417164167
2000,10,2010,2000-01-01,2010-12-01,Ottawa,103.5385770990683,165.15727133143236,0.59512788333382,0.04780279037282953
2000,10,2010,2000-01-01,2010-12-01,S&P 500(CAD),106.70013640058704,53.28779366078681,-0.5005836406738311,-0.06707597691480482
2000,10,2010,2000-01-01,2010-12-01,TSX,131.6196998343633,166.01415383847961,0.26131691568511384,0.023487215043813903
2000,10,2010,2000-01-01,2010-12-01,Toronto,106.01429148951887,146.87215398276507,0.38539957131426594,0.033136023631060274
2000,10,2010,2000-01-01,2010-12-01,Vancouver,100.36712866964965,186.6500442257281,0.8596730493314375,0.06400497773881919
2000,15,2015,2000-01-01,2015-12-01,Calgary,99.9038158200222,186.42220371266708,0.8660168501322181,0.04246393096518797
2000,15,2015,2000-01-01,2015-12-01,Canada,102.6026215789249,206.39084582212544,1.0115552862688175,0.04769643199201923
2000,15,2015,2000-01-01,2015-12-01,Edmonton,103.61683207927226,216.54717709601735,1.08988416988417,0.05036799712694551
2000,15,2015,2000-01-01,2015-12-01,Montreal,101.9400377155663,192.45060635239136,0.8878804703738503,0.04327379667821618
2000,15,2015,2000-01-01,2015-12-01,Ottawa,103.5385770990683,166.12087934476997,0.6044346368196789,0.03202005109022554
2000,15,2015,2000-01-01,2015-12-01,S&P 500(CAD),106.70013640058704,109.425298687832,0.025540382413512752,0.0016827259318779042
2000,15,2015,2000-01-01,2015-12-01,TSX,131.6196998343633,149.23376434643234,0.13382544204427949,0.00840830369085488
2000,15,2015,2000-01-01,2015-12-01,Toronto,106.01429148951887,195.19692107013472,0.8412321426440219,0.041535082787108824
2000,15,2015,2000-01-01,2015-12-01,Vancouver,100.36712866964965,230.57697949623412,1.2973356172732582,0.05701616664588438
2000,20,2020,2000-01-01,2020-12-01,Calgary,99.9038158200222,168.38309534112219,0.6854520916845273,0.02644532400731303
2000,20,2020,2000-01-01,2020-12-01,Canada,102.6026215789249,282.0473933649289,1.7489296961868552,0.051860584955252476
2000,20,2020,2000-01-01,2020-12-01,Edmonton,103.61683207927226,193.81465751932916,0.8704939499699322,0.031805445018349365
2000,20,2020,2000-01-01,2020-12-01,Montreal,101.9400377155663,247.64338444065865,1.429304422386371,0.04537978344067484
2000,20,2020,2000-01-01,2020-12-01,Ottawa,103.5385770990683,225.71950171821302,1.1800521896513891,0.03973663014365991
2000,20,2020,2000-01-01,2020-12-01,S&P 500(CAD),106.70013640058704,172.93810348688095,0.6207861519278197,0.024439430101152126
2000,20,2020,2000-01-01,2020-12-01,TSX,131.6196998343633,184.1092823461699,0.39879731208825175,0.016922226032427323
