date,canada_house_real,canada_house_real_index_1999,tsx_cad,tsx_real,tsx_real_index_1999,sp500_usd,usd_cad,sp500_cad,sp500_real,sp500_real_index_1999,bc_vancouver,bc_vancouver_real,bc_vancouver_real_index_1999,on_toronto,on_toronto_real,on_toronto_real_index_1999,qc_montreal,qc_montreal_real,qc_montreal_real_index_1999,ab_calgary,ab_calgary_real,ab_calgary_real_index_1999,on_ottawa,on_ottawa_real,on_ottawa_real_index_1999,ab_edmonton,ab_edmonton_real,ab_edmonton_real_index_1999
1999-02-01,58.5525,100.0,6312.7,6312.7,100.0,1238.329956,1.4977421052631579,1854.6989153098737,1854.6989153098737,100.0,66.15,66.15,100.0,67.33,67.33,100.0,58.7,58.7,100.0,69.33,69.33,100.0,62.08,62.07999999999999,100.0,61.22,61.22,100.0
1999-03-01,58.7194,100.28504333717603,6597.8,6569.113913043478,104.06187388983284,1286.369995,1.5175695652173913,1952.1559540208477,1943.6683194381485,104.79697288836827,67.03,66.7385652173913,100.88974333694829,68.45,68.15239130434782,101.22143369129336,58.94,58.68373913043477,99.97229834827048,69.44,69.13808695652173,99.72318903291755,65.25,64.96630434782608,104.64933045719408,61.85,61.58108695652173,100.58981861568397
1999-04-01,58.7194,100.28504333717603,7014.7,6946.448864864864,110.03926790224253,1335.180054,1.4881,1986.8814383574,1967.5496189571656,106.08458347151388,66.8,66.15005405405404,100.00008171436741,69.1,68.42767567567566,101.63029210704838,59.88,59.29738378378378,101.01768958055158,68.84,68.17020540540541,98.32713890870534,64.28,63.654572972972964,102.5363611033714,62.7,62.08994594594595,101.42101591954582
1999-05-01,58.7194,100.28504333717603,6841.8,6760.613592233009,107.09543606116256,1301.839966,1.4611100000000001,1902.1313927222602,1879.5602542972924,101.3404514760966,67.19,66.39270765911542,100.36690500244202,69.97,69.13971952535059,102.68783532652694,59.92,59.20897518878101,100.86707868616867,69.22,68.39861920172599,98.6565977235338,64.05,63.28996763754044,101.94904580789377,62.41,61.66942826321466,100.7341199987172
1999-06-01,60.36,103.08697322915333,7010.1,6912.003875134553,109.49362198638543,1372.709961,1.4694863636363635,2017.1785689173043,1988.951097016416,107.23848925549795,67.19,66.24977395048438,100.15082985711923,72.6,71.58406889128094,106.31823687996575,60.14,59.29842841765339,101.01946919532094,69.61,68.63590958019375,98.9988599166216,63.33,62.443789020452094,100.58600035510969,63.07,62.187427341227114,101.58024720879959
1999-07-01,60.36,103.08697322915333,7081.0,6966.912996777658,110.36344189930867,1328.719971,1.489047619047619,1978.5273091985712,1946.6498552372623,104.95772867328313,67.19,66.10745435016112,99.93568306902662,70.33,69.19686358754028,102.77270694718592,60.45,59.47604726100967,101.32205666270812,69.99,68.86234156820622,99.32546021665401,65.02,63.972416756176145,103.04835173353118,63.61,62.58513426423201,102.22988282298597
1999-08-01,60.36,103.08697322915333,6970.8,6843.786495176849,108.41298485872683,1320.410034,1.4931954545454544,1971.630260905009,1935.7055937716916,104.36764575603819,67.39,66.16210075026795,100.0182928953408,70.64,69.35288317256163,103.00443067363973,60.91,59.800171489817785,101.87422741025176,70.24,68.96017148981778,99.46656784915301,63.66,62.50006430868167,100.67664998176818,63.6,62.4411575562701,101.99470362017331
1999-09-01,59.4283,101.49575167584646,6957.7,6809.031196581197,107.86242331460703,1282.709961,1.477052380952381,1894.629801966386,1854.1462591893264,99.97020238077538,67.54,66.09683760683761,99.91963357042721,70.78,69.26760683760685,102.8777763814152,60.76,59.4617094017094,101.29763100802282,70.51,69.00337606837607,99.5288851411742,64.72,63.33709401709401,102.02495814609216,63.51,62.15294871794872,101.5239279940358
1999-10-01,59.4283,101.49575167584646,7256.2,7093.57438633938,112.36989539086888,1362.930054,1.4776099999999999,2013.8790770909397,1968.744113783672,106.14898717696958,67.39,65.87965848452508,99.59132046035538,71.08,69.48695837780149,103.2035621235727,60.92,59.55466382070437,101.45598606593589,70.77,69.18390608324438,99.78927748917407,64.26,62.81980789754535,101.19170086589138,63.8,62.3701173959445,101.87866284865159
1999-11-01,59.4283,101.49575167584646,7523.2,7362.447863247863,116.62914225684516,1388.910034,1.46743,2038.12825119262,1994.5785022355128,107.54190266522417,67.73,66.28277777777778,100.20072226421432,71.16,69.63948717948718,103.4301012616771,61.32,60.009743589743586,102.23124972699078,70.52,69.01316239316239,99.54300071132612,65.74,64.33529914529913,103.63289166446383,64.25,62.87713675213675,102.70685519787119
