date,canada_house_index_2010,canada_house_index_1990,tsx_cad,tsx_index_1990,sp500_usd,usd_cad,sp500_cad,sp500_index_1990
1990-01-01,69.7457,100.0,3694.99,100.0,329.0799866,1.1720380952380953,385.6942806756419,100.0
1990-02-01,69.7457,100.0,3677.34,99.52232617679616,331.8900146,1.196478947368421,397.09941531069785,102.95704012387141
1990-03-01,67.5219,96.81155970905733,3630.26,98.24816846594985,339.9400024,1.1799863636363637,401.1245672865128,104.00065217037722
1990-04-01,67.5219,96.81155970905733,3332.42,90.18752418815748,330.7999878,1.164095238095238,385.0826905599428,99.84143137548534
1990-05-01,67.5219,96.81155970905733,3572.9,96.69579619971908,361.230011,1.1746999999999999,424.3368939216999,110.01897491929765
1990-06-01,62.4101,89.48236235352144,3534.9,95.66737663701392,358.019989,1.1730476190476191,419.9744956679048,108.88792411757116
1990-07-01,62.4101,89.48236235352144,3552.06,96.13178926059341,356.1499939,1.1570285714285713,412.0757186564114,106.83998682442366
1990-08-01,62.4101,89.48236235352144,3337.8,90.33312674729838,322.5599976,1.144808695652174,369.2694901220243,95.74150010084533
1990-09-01,62.1317,89.08319796059112,3151.38,85.28791688204839,306.0499878,1.1583368421052633,354.50897639460635,91.91450175864507
1990-10-01,62.1317,89.08319796059112,3073.48,83.17965677850279,304.0,1.1600227272727273,352.6469090909091,91.43171852928648
1990-11-01,62.1317,89.08319796059112,3143.0,85.0611233047992,322.2200012,1.16348,374.896526996176,97.20043718031005
1990-12-01,61.7145,88.48502488325445,3248.53,87.9171526851223,330.2200012,1.160265,383.142709692318,99.33844728554074
1991-01-01,61.7145,88.48502488325445,3264.59,88.35179526872875,343.9299927,1.1560333333333335,397.59453589429006,103.08541137758172
1991-02-01,61.7145,88.48502488325445,3453.61,93.46737068300591,367.0700073,1.1548947368421052,423.9272194833631,109.91275751892056
1991-03-01,62.8823,90.1593933389442,3486.82,94.36615525346484,375.2200012,1.1571571428571428,434.1885045314457,112.57322866464439
1991-04-01,62.8823,90.1593933389442,3459.99,93.64003691484956,375.3399963,1.1535136363636362,432.9598040047268,112.25466015370704
1991-05-01,62.8823,90.1593933389442,3537.09,95.72664608023297,389.8299866,1.1498545454545455,448.24778204649454,116.21841559622669
1991-06-01,64.6421,92.68255964166967,3457.0,93.5591165334683,371.1600037,1.143895,424.56807243241155,110.0789131974351
1991-07-01,64.6421,92.68255964166967,3537.96,95.75019147548439,387.8099976,1.1493318181818182,445.72236965069453,115.56364508955075
1991-08-01,64.6421,92.68255964166967,3517.9,95.20729420106686,395.4299927,1.1451500000000001,452.8266561404051,117.40559267489363
1991-09-01,60.6376,86.94098704292881,3387.9,91.68901674970704,387.8599854,1.136955,440.979349700457,114.33390947046693
1991-10-01,60.6376,86.94098704292881,3515.8,95.15046048839105,392.4500122,1.127940909090909,442.6604235336063,114.7697660328729
1991-11-01,60.6376,86.94098704292881,3448.5,93.32907531549478,375.2200012,1.1301736842105263,424.06377114568215,109.94816163797563
1991-12-01,61.4683,88.13202821105818,3512.4,95.05844400120164,417.0899963,1.146652380952381,478.25723732881477,123.99904828534798
1992-01-01,61.4683,88.13202821105818,3596.1,97.3236734064233,408.7799988,1.157057142857143,472.9818174686743,122.63127590072791
1992-02-01,61.4683,88.13202821105818,3581.9,96.939369254044,412.7000122,1.182457894736842,488.00038758388104,126.52518122099812
1992-03-01,62.2387,89.23661243632223,3412.1,92.34395762911402,403.6900024,1.1928363636363637,481.53611449917094,124.84917164331233
1992-04-01,62.2387,89.23661243632223,3355.6,90.81486012140763,414.9500122,1.1874318181818182,492.7248474412136,127.75010471456316
1992-05-01,62.2387,89.23661243632223,3387.9,91.68901674970704,415.3500061,1.1990750000000001,498.0358085643575,129.12709197863157
1992-06-01,62.3972,89.46386658962487,3387.7,91.68360401516648,408.1400146,1.1960454545454544,488.1540092804454,126.5650111340306
1992-07-01,62.3972,89.46386658962487,3443.4,93.19105058471065,424.2099915,1.192404347826087,505.82983825586746,131.14787115063712
1992-08-01,62.3972,89.46386658962487,3402.9,92.09497184024856,414.0299988,1.1907476190476192,493.0052352853886,127.82280162976858
1992-09-01,62.2764,89.2906659478649,3297.9,89.25328620645794,417.7999878,1.2224761904761905,510.75053746674286,132.42367415250052
1992-10-01,62.2764,89.2906659478649,3336.1,90.28711850370367,418.6799927,1.245304761904762,521.3841886235609,135.18068966701387
1992-11-01,62.2764,89.2906659478649,3282.8,88.84462474864615,431.3500061,1.2674315789473685,546.70661931028,141.74610480419463
