date,bc_vancouver,ab_calgary,on_toronto,on_ottawa,qc_montreal,ab_edmonton,canada_house_index,canada_house_index_index_1999,bc_vancouver_index_1999,on_toronto_index_1999,qc_montreal_index_1999,ab_calgary_index_1999,on_ottawa_index_1999,canada_house_index_index_2008,bc_vancouver_index_2008,on_toronto_index_2008,qc_montreal_index_2008,ab_calgary_index_2008,on_ottawa_index_2008,ab_edmonton_index_2008
1999-01-01,66.35,69.44,71.55,69.2,59.51,,58.5525,100.0,100.0,100.0,100.0,100.0,100.0,59.35197105004409,43.90841109125802,60.15638136875735,48.354594945965715,41.444344971650246,59.009124243199466,
1999-02-01,66.15,69.33,67.33,62.08,58.7,61.22,58.5525,100.0,99.698568198945,94.10202655485675,98.6388842211393,99.84158986175116,89.71098265895952,59.35197105004409,43.77605717689101,56.60837397006894,47.696432924352,41.37869292748433,52.937665217020545,34.80386583285958
1999-03-01,67.03,69.44,68.45,65.25,58.94,61.85,58.7194,100.28504333717603,101.02486812358704,95.66736547868624,99.04217778524618,100.0,94.29190751445087,59.52114988900489,44.35841440010588,57.550025222801416,47.89144389371902,41.444344971650246,55.64082885648504,35.162023877202955
1999-04-01,66.8,68.84,69.1,64.28,59.88,62.7,58.7194,100.28504333717603,100.67822155237378,96.57582110412298,100.62174424466477,99.13594470046084,92.89017341040461,59.52114988900489,44.20620739858381,58.09651925340508,48.65523685707321,41.086242912563414,54.813677837469086,35.64525298465037
1999-05-01,67.19,69.22,69.97,64.05,59.92,62.41,58.7194,100.28504333717603,101.26601356443106,97.79175401816912,100.68895983868258,99.6831797235023,92.55780346820809,59.52114988900489,44.46429753159949,58.827980494366905,48.68773868530105,41.31304088331841,54.61754924533129,35.480386583285956
1999-06-01,67.19,69.61,72.6,63.33,60.14,63.07,60.36,103.08697322915333,101.26601356443106,101.46750524109014,101.05864560578055,100.24481566820276,91.51734104046241,61.184150507333776,44.46429753159949,61.039179418194045,48.86649874055416,41.54580722172486,54.00358147863904,35.85559977259807
1999-07-01,67.19,69.99,70.33,65.02,60.45,63.61,60.36,103.08697322915333,101.26601356443106,98.29489867225718,101.57956645941859,100.79205069124424,93.95953757225432,61.184150507333776,44.46429753159949,59.13065411131663,49.11838790931991,41.77260519247985,55.44470026434723,36.16259238203525
1999-08-01,67.39,70.24,70.64,63.66,60.91,63.6,60.36,103.08697322915333,101.56744536548608,98.72816212438855,102.35254579062342,101.15207373271889,91.99421965317917,61.184150507333776,44.596651445966515,59.39128972591222,49.49215893394003,41.92181438376603,54.28498337170632,36.15690733371233
1999-09-01,67.54,70.51,70.78,64.72,60.76,63.51,59.4283,101.49575167584646,101.79351921627733,98.92382948986723,102.10048731305663,101.54089861751152,93.52601156069363,60.239729151673025,44.69591688174177,59.50899613250379,49.37027707808564,42.08296031035512,55.1888803615588,36.10574189880614
1999-10-01,67.39,70.77,71.08,64.26,60.92,63.8,59.4283,101.49575167584646,101.56744536548608,99.34311670160727,102.36934968912787,101.91532258064515,92.86127167630059,60.239729151673025,44.596651445966515,59.76122414662856,49.500284390996995,42.23813786929274,54.7966231772832,36.27060830017055
