2008-07-01,33.06
2008-08-01,32.45
2008-09-01,29.49
2008-10-01,23.17
2008-11-01,21.59
2008-12-01,22.61
2009-01-01,20.29
2009-02-01,18.36
2009-03-01,19.98
2009-04-01,22.39
2009-05-01,24.76
2009-06-01,24.33
2009-07-01,26.8
2009-08-01,27.52
2009-09-01,28.96
2009-10-01,28.23
2009-11-01,29.73
2009-12-01,29.74
2010-01-01,28.65
2010-02-01,29.25
2010-03-01,31.2
2010-04-01,31.06
2010-05-01,27.99
2010-06-01,27.2
2010-07-01,29.7
2010-08-01,28.52
2010-09-01,31.39
2010-10-01,32.58
2010-11-01,31.72
2010-12-01,33.5
2011-01-01,34.62
2011-02-01,35.64
2011-03-01,35.62
2011-04-01,37.17
2011-05-01,36.32
2011-06-01,35.84
2011-07-01,35.07
2011-08-01,32.52
2011-09-01,29.04
2011-10-01,32.31
2011-11-01,31.91
2011-12-01,30.85
2012-01-01,33.31
2012-02-01,34.9
2012-03-01,35.3
2012-04-01,34.89
2012-05-01,31.77
2012-06-01,33.4
2012-07-01,33.64
2012-08-01,34.48
2012-09-01,35.13
2012-10-01,35.34
2012-11-01,35.88
2012-12-01,36.58
2013-01-01,38.47
2013-02-01,38.35
2013-03-01,39.13
2013-04-01,40.31
2013-05-01,40.08
2013-06-01,38.68
2013-07-01,41.02
2013-08-01,40.02
2013-09-01,42.07
2013-10-01,43.82
2013-11-01,44.5
2013-12-01,45.18
2014-01-01,43.45
2014-02-01,45.72
2014-03-01,45.68
2014-04-01,46.28
2014-05-01,47.23
2014-06-01,47.91
2014-07-01,47.42
2014-08-01,48.68
2014-09-01,46.84
2014-10-01,47.5
2014-11-01,48.1
2014-12-01,46.85
2015-01-01,46.38
2015-02-01,49.14
2015-03-01,48.3
2015-04-01,49.78
2015-05-01,49.95
2015-06-01,48.49
2015-07-01,49.08
2015-08-01,45.83
2015-09-01,43.91
2015-10-01,47.34
2015-11-01,47.3
2015-12-01,45.97
2016-01-01,43.56
2016-02-01,43.07
2016-03-01,46.33
2016-04-01,46.98
2016-05-01,47.28
2016-06-01,46.82
2016-07-01,49.15
2016-08-01,49.32
2016-09-01,49.45
2016-10-01,48.73
2016-11-01,49.31
2016-12-01,49.83
2017-01-01,51.71
2017-02-01,53.1
2017-03-01,53.68
2017-04-01,54.76
2017-05-01,55.83
2017-06-01,55.79
2017-07-01,57.67
2017-08-01,57.91
2017-09-01,58.83
2017-10-01,60.37
2017-11-01,61.52
2017-12-01,62.09
2018-01-01,65.93
2018-02-01,63
2018-03-01,61.97
2018-04-01,62.45
2018-05-01,62.81
2018-06-01,61.97
2018-07-01,64.23
2018-08-01,64.78
2018-09-01,64.53
2018-10-01,59.76
2018-11-01,60.8
2018-12-01,55.97
2019-01-01,60.9
2019-02-01,62.62
2019-03-01,63.04
2019-04-01,65.48
2019-05-01,61.57
2019-06-01,65.01
2019-07-01,65.5
2019-08-01,64.12
2019-09-01,65.2
2019-10-01,67.41
2019-11-01,69.13
2019-12-01,70.98
2020-01-01,70.41
2020-02-01,65.32
2020-03-01,55.46
2020-04-01,61.45
2020-05-01,64.65
2020-06-01,66.32
2020-07-01,70.16
2020-08-01,74.38
2020-09-01,71.84
2020-10-01,70.72
2020-11-01,79.47
2020-12-01,82.89
2021-01-01,83.2
2021-02-01,85.42
2021-03-01,87.63
2021-04-01,91.49
2021-05-01,92.93
2021-06-01,93.56
2021-07-01,94.61
2021-08-01,96.75
2021-09-01,92.41
2021-10-01,97.55
2021-11-01,95
2021-12-01,97.88
2022-01-01,94.1
2022-02-01,91.49
2022-03-01,92.98
2022-04-01,85.67
2022-05-01,86.09
2022-06-01,78.54
2022-07-01,84.63
2022-08-01,81.2
2022-09-01,73.11
2022-10-01,78.14
2022-11-01,84.62
2022-12-01,80.27
2023-01-01,87.04
2023-02-01,84.28
2023-03-01,86.4
2023-04-01,87.91
2023-05-01,86.85
2023-06-01,91.28
2023-07-01,95.31
2023-08-01,92.6
2023-09-01,88.29
2023-10-01,86.08
2023-11-01,93.83
2023-12-01,97.89
2024-01-01,98.67
2024-02-01,103.1
2024-03-01,105.98
2024-04-01,102.58
2024-05-01,107.29
2024-06-01,108.44
2024-07-01,111.15
2024-08-01,113.75
2024-09-01,115.84
2024-10-01,113.71
2024-11-01,118.42
2024-12-01,114.09
2025-01-01,118.46
2025-02-01,117.97
2025-03-01,113.45
2025-04-01,114.45
2025-05-01,121.1
2025-06-01,126.16
2025-07-01,128.15
2025-08-01,131.94
2025-09-01,135.91
2025-10-01,139.15
2025-11-01,139.44
2025-12-01,139.61
2026-01-01,145.11
2026-02-01,147.49
2026-03-01,138
2026-04-01,151.2
2026-05-01,151.44
